task,level,cluster_id,universal_task_id
Characterize demagnetization factors and sample holder contributions to magnetic measurements.,subfield,U07.09,U07
Characterize detection limits and matrix effects for environmental sample analysis.,subfield,U07.09,U07
Characterize detection limits and precision of instruments used for air and water quality monitoring.,subfield,U07.09,U07
"Characterize detector and readout performance across operating conditions to quantify limits, stability, and degradation",subfield,U07.09,U07
Characterize detector energy resolution and efficiency across relevant energy ranges.,subfield,U07.09,U07
"Characterize distributional or structural features of data and procedures without relying on parametric assumptions, to justify model specification.",subfield,U02.16,U02
Characterize electrical contact resistance and lead contributions in transport measurement setups.,subfield,U07.09,U07
Characterize electrode surface area using capacitance measurements or redox probe techniques.,subfield,U01.17,U01
Characterize floral traits such as morphology and nectar rewards to assess pollination syndromes.,subfield,U01.12,U01
Characterize frequency response and spatial resolution limitations of velocity measurement systems.,subfield,U07.09,U07
Characterize how firm outcomes vary across the distribution or across geographic markets.,subfield,U02.11,U02
Characterize hyperbolicity and rigidity through conjugacy-invariant topological properties such as shadowing and expansiveness.,subfield,U29.01,U29
"Characterize instrument performance through system suitability tests including resolution, peak shape, and retention time reproducibility.",subfield,U07.09,U07
"Characterize instrument resolution, detector efficiency, and beam alignment for spectroscopic and diffraction measurements.",subfield,U07.09,U07
Characterize instrument response functions for seismic sensors deployed in field or borehole installations.,subfield,U07.09,U07
Characterize laser beam profiles including spatial mode quality and divergence.,subfield,U07.09,U07
"Characterize laser linewidth, power stability, and beam profile for precision measurements.",subfield,U07.09,U07
Characterize latency and tracking accuracy of motion capture and gesture recognition systems.,subfield,U07.09,U07
Characterize marker expression across neural cell populations and regions to define cell-type or tissue-selective identities.,subfield,U01.19,U01
Characterize matrix effects and detection limits for X-ray fluorescence and diffraction instruments.,subfield,U07.09,U07
Characterize measurement error in GPS-based travel time data collection systems.,subfield,U07.09,U07
Characterize measurement error in dynamic mechanical analysis equipment used for viscoelastic property determination.,subfield,U07.09,U07
Characterize measurement error in impedance analyzers used for dielectric property determination.,subfield,U07.09,U07
Characterize measurement error in portable soil testing equipment across varying field conditions.,subfield,U07.09,U07
Characterize measurement overhead introduced by profiling and monitoring tools in parallel systems.,subfield,U07.09,U07
Characterize measurement uncertainty in accelerometers and vibration monitoring equipment.,subfield,U07.09,U07
Characterize measurement uncertainty in hydrological monitoring equipment for flood forecasting.,subfield,U07.09,U07
Characterize measurement uncertainty in streamflow gauging and water level monitoring equipment.,subfield,U07.09,U07
Characterize microbial communities in fermented foods using metagenomic or amplicon sequencing approaches.,subfield,U01.19,U01
Characterize microbial community composition and diversity in treatment systems using marker-gene sequencing or molecular fingerprinting.,subfield,U01.19,U01
Characterize microstructural evolution under cyclic loading to identify fatigue and damage mechanisms.,subfield,U01.18,U01
"Characterize nanoparticle size, shape, and crystallinity using electron microscopy and diffraction techniques.",subfield,U01.17,U01
Characterize particle size distribution and microstructure of food materials using light-scattering or image-analysis techniques.,subfield,U01.17,U01
Characterize pathogen isolates in the laboratory to determine their responses and genetic variation,subfield,U01.19,U01
Characterize patients and their disease course through observational clinical assessment without intervention,subfield,U01.10,U01
"Characterize physicochemical properties of drug substances and formulations, such as particle size and surface charge",subfield,U01.17,U01
Characterize point spread functions and optical aberrations in fluorescence microscopy systems.,subfield,U07.09,U07
Characterize polymer molecular weight distributions using gel permeation chromatography.,subfield,U01.17,U01
Characterize polymer morphology and microstructure using electron microscopy and atomic force microscopy.,subfield,U01.17,U01
Characterize probe loading effects and parasitic capacitance in high-frequency measurements.,subfield,U07.09,U07
"Characterize profilometer, ellipsometer, or interferometer accuracy for surface roughness and thickness measurements.",subfield,U07.09,U07
Characterize protein and peptide conformation in solution using circular dichroism and fluorescent probe assays.,subfield,U01.17,U01
"Characterize quantum-mechanical properties of the physical system underlying an algorithm, such as entanglement or phase transitions, to explain its computational resource requirements.",subfield,U29.01,U29
Characterize recorded units or delivered stimuli by their measured properties to define experimental categories,subfield,U07.14,U07
Characterize responses of subjects or specimens under prescribed assessment or loading protocols,subfield,U01.09,U01
Characterize rheological properties of working fluids to define flow regimes for experiments.,subfield,U07.11,U07
Characterize sensor accuracy and repeatability for in-process monitoring systems.,subfield,U07.09,U07
Characterize sensor accuracy and response time for grid monitoring instrumentation.,subfield,U07.09,U07
Characterize sensor drift and biofouling effects on moored oceanographic instruments.,subfield,U07.09,U07
Characterize sensor drift and measurement biases in weather station instruments over time.,subfield,U07.09,U07
"Characterize sensor measurement errors for LIDAR, IMU, and depth cameras used in robot perception.",subfield,U07.09,U07
"Characterize sensor noise, drift, and nonlinearities for incorporation into system models.",subfield,U07.09,U07
Characterize sensor radiometric response to convert digital numbers to physical units of radiance or reflectance.,subfield,U07.09,U07
Characterize sources of measurement noise in software repository mining and developer activity tracking.,subfield,U07.09,U07
"Characterize spatial resolution, linearity, and dynamic range of imaging systems.",subfield,U07.09,U07
"Characterize structural properties of optimization problem instances, such as separability or matrix definiteness, to classify their difficulty and solvability.",subfield,U29.01,U29
Characterize surface composition and chemical states using X-ray photoelectron spectroscopy.,subfield,U01.17,U01
Characterize surface morphology and microstructure using electron microscopy and atomic force microscopy.,subfield,U01.17,U01
Characterize surface morphology and roughness using atomic force microscopy or profilometry.,subfield,U01.17,U01
Characterize systematic biases in satellite-derived climate variables through ground-truth comparisons.,subfield,U07.09,U07
"Characterize the asymptotic behavior of large discrete or random structures by identifying their limiting objects, limit laws, and tail asymptotics.",subfield,U29.01,U29
Characterize the decision-making and governance behavior of actors in agricultural systems,subfield,U28.06,U28
Characterize the distributional and temporal properties of return series using descriptive statistics and normality tests.,subfield,U02.06,U02
"Characterize the function of candidate genes, proteins, or isolates through laboratory manipulation and assay of organisms",subfield,U01.19,U01
Characterize the imaging appearance of a disease entity across a case series to define its distinguishing features.,subfield,U28.99,U28
"Characterize the mineralogical, structural, and surface-chemical properties of environmental solids and sorbents using diffraction, spectroscopic, and microscopic techniques.",subfield,U01.17,U01
Characterize the morphology of particles or organisms in samples using microscopy imaging,subfield,U01.17,U01
Characterize the ontogeny of plant structures across developmental stages through histological observation.,subfield,U01.19,U01
Characterize the response of nanomaterials to light or microwave irradiation to quantify energy absorption and heat conversion.,subfield,U01.17,U01
Characterize the temporal variability of astrophysical sources across multiple epochs and timescales.,subfield,U01.14,U01
Characterize thermal transitions and crystallization behavior of food materials using differential scanning calorimetry.,subfield,U01.17,U01
Characterize tracking detector alignment and resolution using reconstructed particle trajectories.,subfield,U07.09,U07
Characterize wind tunnel flow quality including turbulence intensity and flow uniformity.,subfield,U07.09,U07
Chemically modify preformed polymers or biomacromolecules through post-polymerization reactions to install functional or initiating groups.,subfield,U30.04,U30
Classify and grade tumor specimens by applying standardized histopathologic and immunophenotypic criteria.,subfield,U01.19,U01
Classify and map place names to document spatial patterns of naming and territory.,subfield,U04.04,U04
"Classify artifacts by technological, morphological, and metric attributes to reconstruct manufacturing sequences and assemblage variability.",subfield,U04.08,U04
Classify cases or areas into empirically derived typologies using multivariate analysis of their attributes,subfield,U02.17,U02
Classify commentarial or exegetical works by interpretive method and historical period to enable systematic comparison.,subfield,U04.06,U04
Classify individual landforms into morphological types by computing and applying quantitative morphometric criteria.,subfield,U04.08,U04
Classify land cover types by fitting spectral signatures to training data using supervised classification algorithms.,subfield,U09.06,U09
"Classify land units into suitability or capability classes by matching soil, terrain, and climate attributes to land-use requirements.",subfield,U04.08,U04
Classify land use types or activity locations from GPS traces and survey responses.,subfield,U04.10,U04
"Classify medieval buildings, artefacts, or texts by comparison with corpora of known exemplars to build typologies and relative chronologies.",subfield,U04.08,U04
Classify observed or simulated system behavior into distinct regimes using qualitative and quantitative criteria.,subfield,U04.08,U04
Classify or schedule participants by reproductive hormonal status to control for hormonal variability in metabolic studies.,subfield,U07.01,U07
Classify participants into behavioral types by matching their observed choice or process patterns to canonical categories.,subfield,U04.08,U04
"Classify patent claims or trademark applications by technology field, industry sector, or legal category.",subfield,U04.08,U04
Classify speech varieties into dialect groups by comparing diagnostic linguistic features across documented sources.,subfield,U04.08,U04
"Classify the objects of a given class up to equivalence, cataloguing the resulting types by structural invariants.",subfield,U29.02,U29
"Clean GPS trajectory data by filtering noise, removing outliers, and interpolating missing location points.",subfield,U04.01,U04
Clean and harmonize agricultural survey data across multiple time periods or geographic regions.,subfield,U04.02,U04
Clean and harmonize organizational or industry data from multiple sources with varying classification schemes.,subfield,U04.02,U04
Clean and harmonize political attitude measures across different survey waves or cross-national datasets.,subfield,U04.02,U04
"Clean and harmonize property transaction data by addressing inconsistent property identifiers, missing values, and outlier sale prices.",subfield,U04.02,U04
Clean and harmonize tax and fiscal data across jurisdictions with different reporting standards and definitions.,subfield,U04.02,U04
Clean and normalize software repository data by resolving entity aliases and filtering bot-generated artifacts.,subfield,U04.02,U04
Clean and prepare assessment data by handling missing responses and flagging aberrant response patterns.,subfield,U04.03,U04
Clean and preprocess clickstream data and system log files for behavioral analysis.,subfield,U04.02,U04
Clean and preprocess large-scale numerical datasets to ensure compatibility with statistical software and algorithms.,subfield,U04.02,U04
Clean and reconcile discrepancies between self-reported offending and official criminal records.,subfield,U04.04,U04
Clean and standardize accounting variables across different reporting standards and fiscal year-ends.,subfield,U04.02,U04
Clean and standardize administrative data from multiple government sources with inconsistent coding schemes.,subfield,U04.02,U04
Clean and standardize company names and identifiers to match firms across multiple country-level datasets.,subfield,U04.02,U04
Clean and standardize country-of-origin and ancestry data to construct meaningful ethnic group classifications.,subfield,U04.05,U04
Clean and standardize education and credential variables to enable cross-dataset comparisons.,subfield,U04.02,U04
Clean and standardize firm identifiers to merge data across multiple corporate databases.,subfield,U04.02,U04
"Clean and standardize firm names, industry codes, and founder characteristics across multiple entrepreneurship datasets.",subfield,U04.02,U04
"Clean and standardize geographic identifiers across election data, census boundaries, and survey samples.",subfield,U04.02,U04
Clean and standardize immigration case data to account for inconsistencies in administrative record-keeping.,subfield,U04.02,U04
Clean and standardize inconsistent legal terminology and case disposition codes across different court jurisdictions.,subfield,U04.02,U04
Clean and standardize legal and regulatory text data for systematic comparative analysis.,subfield,U04.02,U04
Clean and standardize legal terminology and classifications across multiple jurisdictions and languages in human rights datasets.,subfield,U04.02,U04
"Clean and standardize media content data including text, images, or metadata from multiple news sources.",subfield,U04.02,U04
"Clean and standardize medical billing codes, diagnosis codes, and procedure codes across different classification systems.",subfield,U04.02,U04
"Clean and standardize migration-related variables such as legal status, duration of residence, or generation.",subfield,U04.02,U04
Clean and standardize multilingual text data to account for translation inconsistencies and culturally specific response patterns.,subfield,U04.02,U04
Clean and standardize online review data and user-generated content from travel platforms for analysis.,subfield,U04.02,U04
"Clean and standardize operational data including inventory records, lead times, and demand forecasts.",subfield,U04.02,U04
Clean and standardize osteometric measurements and morphological scoring data for statistical analysis.,subfield,U04.02,U04
Clean and standardize regulatory compliance data and enforcement records from multiple agencies or jurisdictions.,subfield,U04.02,U04
Clean and standardize religious affiliation categories across different classification schemes and survey instruments.,subfield,U04.02,U04
Clean and standardize school and district identifiers to link data across multiple administrative sources.,subfield,U04.02,U04
Clean and standardize self-reported health status measures and healthcare utilization data.,subfield,U04.02,U04
"Clean and standardize student demographic variables, enrollment records, or course-taking patterns for analysis.",subfield,U04.02,U04
Clean and transform sensor or image data to correct for systematic errors and artifacts.,subfield,U04.01,U04
"Clean datasets by handling missing values, outliers, and label noise.",subfield,U04.03,U04
"Clean reaction time data by identifying and handling outliers, anticipatory responses, and missed trials.",subfield,U04.11,U04
"Clean self-reported crime and victimization data to address inconsistencies, missing values, and response biases.",subfield,U04.02,U04
Clone candidate genes and mutant alleles into expression vectors to build constructs for functional assays.,subfield,U30.04,U30
Clone target gene fragments into plasmid vectors and transform host cells to generate recombinant constructs.,subfield,U30.04,U30
Cluster biological samples or features using unsupervised learning methods to identify patterns.,subfield,U02.17,U02
Cluster environmental sequence reads into taxonomic units assigned against reference databases,subfield,U04.09,U04
Code and categorize student written explanations or problem solutions to identify patterns in scientific or mathematical reasoning.,subfield,U04.06,U04
"Code and organize legal texts, including statutes, regulations, and court opinions, for systematic legal analysis.",subfield,U04.06,U04
"Code and standardize policy documents, party manifestos, or legislative texts for quantitative analysis.",subfield,U04.06,U04
"Code and standardize political institution variables such as regime type, electoral rules, or veto players.",subfield,U04.06,U04
Code archival documents and historical texts to identify recurring themes in scientific discourse or practice.,subfield,U04.06,U04
Code characteristics and findings of included studies to synthesize evidence across them.,subfield,U24.03,U24
"Code classroom interaction data for discourse moves, feedback types, or turn-taking patterns using established coding schemes.",subfield,U04.06,U04
Code classroom observation data to characterize the nature and frequency of active learning strategies in STEM instruction.,subfield,U04.06,U04
Code classroom observation data to identify patterns in instructional strategies and student engagement.,subfield,U04.06,U04
"Code constitutional court opinions for doctrinal reasoning, interpretive methods, and precedent application.",subfield,U04.06,U04
"Code diplomatic communications, policy documents, or official statements to identify frames, positions, or rhetorical strategies.",subfield,U04.06,U04
"Code diplomatic correspondence and political documents to identify patterns in rhetoric, decision-making, or alliance formation.",subfield,U04.06,U04
"Code discourse data for linguistic features such as code-switching, register variation, or pragmatic markers.",subfield,U04.06,U04
"Code discourse data for rhetorical strategies, argument structures, or speech act types.",subfield,U04.06,U04
Code ethnographic field notes and interview transcripts for themes related to health-seeking behavior and medical pluralism.,subfield,U04.06,U04
"Code ethnographic field notes and interview transcripts for themes related to religious identity, ritual practice, and doctrinal interpretation.",subfield,U04.06,U04
Code ethnographic fieldnotes and interview transcripts using thematic or grounded theory approaches.,subfield,U04.06,U04
"Code field notes and excavation records to identify patterns in site use, deposition, or disturbance.",subfield,U04.06,U04
"Code formal elements of films including cinematography, editing patterns, sound design, and mise-en-scène for comparative analysis.",subfield,U04.06,U04
Code gaze or movement video frame-by-frame against defined areas of interest to quantify visual attention.,subfield,U04.11,U04
"Code health narratives and testimonials for thematic content, emotional appeals, and persuasive strategies.",subfield,U04.06,U04
"Code iconographic, stylistic, or typological attributes of artifacts and visual evidence.",subfield,U04.06,U04
Code illness narratives and patient accounts to identify themes related to meaning-making and identity.,subfield,U04.06,U04
Code individual crash reports case-by-case to classify contributing factors and situational scenarios.,subfield,U04.06,U04
"Code interview and open-ended survey responses to identify themes in information needs, access barriers, and library experiences.",subfield,U04.06,U04
"Code interview data for themes related to literacy identity, reading practices, or language attitudes.",subfield,U04.06,U04
"Code interview data to identify themes related to economic meanings, workplace identities, and organizational cultures.",subfield,U04.06,U04
"Code interview transcripts for themes related to political identity, power relations, or institutional trust.",subfield,U04.06,U04
Code interview transcripts from journalists or media professionals to identify themes in professional practices or values.,subfield,U04.06,U04
Code interview transcripts from school leaders to identify themes related to policy interpretation and implementation strategies.,subfield,U04.06,U04
Code interview transcripts from scientists to identify patterns in epistemic reasoning and methodological justification.,subfield,U04.06,U04
"Code interview transcripts to identify themes related to employee motivation, leadership, or organizational culture.",subfield,U04.06,U04
"Code interview transcripts to identify themes related to musical identity, learning experiences, or cultural significance.",subfield,U04.06,U04
"Code interview transcripts to identify themes related to political identity, regime legitimacy, or collective action.",subfield,U04.06,U04
"Code interview transcripts to identify themes related to student identity, belonging, or institutional experiences.",subfield,U04.06,U04
Code interview transcripts to identify themes related to student learning experiences or instructional practices.,subfield,U04.06,U04
"Code judicial opinions and court orders to identify patterns in custody, support, or property division decisions.",subfield,U04.06,U04
Code judicial opinions or legislative materials to identify doctrinal trends or policy rationales in IP law.,subfield,U04.06,U04
Code judicial reasoning patterns and doctrinal approaches across different legal traditions.,subfield,U04.06,U04
Code judicial reasoning patterns and doctrinal categories in court decisions involving commercial disputes.,subfield,U04.06,U04
"Code judicial reasoning patterns, interpretive methods, or doctrinal categories in court decisions.",subfield,U04.06,U04
"Code legal documents, court opinions, and regulatory texts to identify patterns in environmental law interpretation and application.",subfield,U04.06,U04
"Code linguistic data for grammatical features such as word order, agreement, and argument structure.",subfield,U04.06,U04
"Code linguistic tokens for phonological, morphological, or syntactic variants in speech data.",subfield,U04.06,U04
"Code media texts for recurring themes, narrative structures, or ideological patterns.",subfield,U04.06,U04
Code morphological characters into data matrices for cladistic or phenetic analysis.,subfield,U04.06,U04
"Code movement documents, speeches, or media coverage to identify collective action frames and diagnostic, prognostic, and motivational claims.",subfield,U04.06,U04
"Code narrative or open-ended responses for personality-relevant themes such as agency, communion, or redemption.",subfield,U04.06,U04
"Code narrative texts for structural elements such as plot events, character functions, or narrative sequences.",subfield,U04.06,U04
"Code news articles or broadcast transcripts for frames, tone, or issue salience using systematic content analysis.",subfield,U04.06,U04
"Code observational data from rehearsals and performances to identify recurring patterns in staging, movement, or directorial choices.",subfield,U04.06,U04
Code observed parent-child interactions or peer behaviors using established developmental coding schemes.,subfield,U04.06,U04
Code open-ended responses about occupations into standardized classification schemes for stratification analysis.,subfield,U04.06,U04
"Code open-ended responses for themes related to social identity, stereotyping, or intergroup perceptions.",subfield,U04.06,U04
Code oral histories and personal narratives to identify themes of colonial experience and memory.,subfield,U04.06,U04
Code oral history transcripts and ethnographic field notes to identify recurring themes and regional patterns.,subfield,U04.06,U04
"Code oral history transcripts and personal narratives for recurring themes, cultural meanings, and historical patterns.",subfield,U04.06,U04
"Code oral history transcripts to identify recurring themes, perspectives, and narrative patterns.",subfield,U04.06,U04
"Code participant responses to philosophical vignettes for patterns in intuitive judgments about knowledge, causation, or moral responsibility.",subfield,U04.06,U04
Code phenomenological interview data to identify invariant structures of conscious experience.,subfield,U04.06,U04
Code policy and institutional characteristics into standardized categories or indices for comparative analysis,subfield,U04.06,U04
Code policy documents and legislative debates to identify governance themes and institutional logics.,subfield,U04.06,U04
"Code policy documents, legislative debates, or party manifestos to identify ideological positions or policy priorities.",subfield,U04.06,U04
"Code policy documents, legislative texts, or agency communications to identify themes and implementation strategies.",subfield,U04.06,U04
"Code political texts for normative concepts, rhetorical strategies, or ideological commitments.",subfield,U04.06,U04
"Code qualitative data for recurring religious themes, symbols, and theological concepts across traditions.",subfield,U04.06,U04
"Code qualitative data for spatial themes including place meanings, territorial identities, and landscape perceptions.",subfield,U04.06,U04
"Code qualitative data for themes related to cultural identity, acculturation strategies, intercultural conflict, or communication barriers.",subfield,U04.06,U04
"Code qualitative data for themes related to gender performance, power dynamics, or experiences of marginalization.",subfield,U04.06,U04
"Code qualitative data for themes related to place identity, belonging, displacement, or territorial meaning.",subfield,U04.06,U04
"Code qualitative data for themes related to racial identity development, ethnic belonging, or experiences of marginalization.",subfield,U04.06,U04
"Code qualitative data for theological themes, ethical concepts, or patterns of religious meaning-making.",subfield,U04.06,U04
"Code qualitative data for theological themes, religious meaning-making, and spiritual narratives.",subfield,U04.06,U04
Code qualitative data from artist interviews or audience feedback to identify themes in creative practice and reception.,subfield,U04.06,U04
Code qualitative data from consumer interviews to identify themes related to brand meaning or purchase motivations.,subfield,U04.06,U04
Code qualitative data from entrepreneur interviews to identify themes related to opportunity exploitation or resource acquisition.,subfield,U04.06,U04
"Code qualitative data from executive interviews to identify strategic themes, decision rationales, or organizational practices.",subfield,U04.06,U04
Code qualitative data from forensic interviews to identify themes related to offense patterns or treatment responsivity.,subfield,U04.06,U04
"Code qualitative data from immigrant interviews to identify themes related to legal status, rights, and access to justice.",subfield,U04.06,U04
Code qualitative data from interviews about learner or instructor experiences with educational technologies.,subfield,U04.06,U04
"Code qualitative data from interviews or testimonies for theological themes, doctrinal positions, or spiritual experiences.",subfield,U04.06,U04
"Code qualitative data from interviews with executives, auditors, or analysts regarding financial reporting or governance practices.",subfield,U04.06,U04
Code qualitative data from interviews with multinational executives to identify themes related to internationalization challenges.,subfield,U04.06,U04
"Code qualitative data from interviews with students, families, and educators to identify themes related to inclusion and belonging.",subfield,U04.06,U04
Code qualitative data from interviews with supply chain practitioners to identify themes in operational decision-making.,subfield,U04.06,U04
Code qualitative data from offender interviews or court observations to identify themes related to criminal decision-making or justice processes.,subfield,U04.06,U04
"Code qualitative data from participant interviews about exercise adherence, barriers, or sport experiences.",subfield,U04.06,U04
Code qualitative data from patient narratives to identify themes related to illness perceptions and coping strategies.,subfield,U04.06,U04
"Code qualitative data from planning documents, public meeting transcripts, or stakeholder interviews.",subfield,U04.06,U04
Code qualitative data from policy documents and political speeches to identify economic policy positions and priorities.,subfield,U04.06,U04
"Code qualitative data from strategic documents, speeches, or propaganda materials to identify threat narratives and policy positions.",subfield,U04.06,U04
Code qualitative data from student work samples or portfolio artifacts to identify learning patterns.,subfield,U04.06,U04
"Code qualitative data from teacher reflections, parent interviews, or classroom field notes to identify themes in early childhood practice.",subfield,U04.06,U04
Code qualitative data from tourist narratives and travel blogs to identify themes in destination experiences.,subfield,U04.06,U04
Code qualitative data from tourist narratives to identify themes related to place meanings and destination experiences.,subfield,U04.06,U04
Code qualitative data from user interviews to identify themes in information needs and search strategies.,subfield,U04.06,U04
Code qualitative data from user interviews to identify themes related to technology use and adoption barriers.,subfield,U04.06,U04
Code qualitative data from victim testimonies and legal submissions to identify patterns of violations and state responses.,subfield,U04.06,U04
Code qualitative data from voter interviews to identify themes in political reasoning and candidate evaluation.,subfield,U04.06,U04
"Code qualitative data to identify recurring moral themes, ethical principles, or patterns of normative reasoning.",subfield,U04.06,U04
"Code qualitative data to identify themes related to identity negotiation, belonging, or transnational ties.",subfield,U04.06,U04
"Code qualitative data to identify themes related to place attachment, community identity, or urban belonging.",subfield,U04.06,U04
Code qualitative data using thematic frameworks derived from Islamic theological and jurisprudential categories.,subfield,U04.06,U04
"Code qualitative interview data to identify themes related to criminal pathways, desistance, or experiences with the justice system.",subfield,U04.06,U04
"Code qualitative interview data to identify themes related to employee motivation, stress, or career development.",subfield,U04.06,U04
"Code qualitative interview data to identify themes related to regional identity, embeddedness, or inter-firm relationships.",subfield,U04.06,U04
Code qualitative narratives about family decision-making processes and relationship transitions.,subfield,U04.06,U04
Code reflective writing or portfolio entries to identify themes in professional development.,subfield,U04.06,U04
"Code rhetorical features such as appeals, tropes, figures, and argumentative structures in collected texts or transcripts.",subfield,U04.06,U04
Code semantic shifts and grammatical changes in diachronic text corpora to track patterns of language evolution.,subfield,U04.06,U04
"Code social media content for themes, sentiment, or discourse patterns using qualitative analysis frameworks.",subfield,U04.06,U04
Code student interview transcripts to identify themes related to learning experiences or academic identity.,subfield,U04.06,U04
"Code student writing for rhetorical features, genre conventions, or linguistic complexity.",subfield,U04.06,U04
"Code textual data for semantic relations, reference chains, or coherence structures.",subfield,U04.06,U04
Code textual passages according to theoretical categories or interpretive frameworks for systematic analysis.,subfield,U04.06,U04
"Code thematic content from early modern correspondence, diaries, and legal testimony to identify patterns in beliefs or practices.",subfield,U04.06,U04
"Code thematic content in correspondence, treatises, or critical writings to trace intellectual networks and debates.",subfield,U04.06,U04
"Code thematic content in hagiographies, chronicles, or literary texts to identify patterns and motifs.",subfield,U04.06,U04
"Code thematic content, imagery patterns, or rhetorical strategies across collections of poems.",subfield,U04.06,U04
"Code thematic patterns, narrative structures, and rhetorical strategies in American literary texts through close reading methods.",subfield,U04.06,U04
"Code thematic patterns, narrative structures, or symbolic elements in literary and media texts.",subfield,U04.06,U04
"Code thematic patterns, rhetorical structures, or theological motifs within biblical and related ancient texts.",subfield,U04.06,U04
"Code thematic, rhetorical, or generic patterns across literary texts to support comparative analysis.",subfield,U04.06,U04
"Code thematic, stylistic, or narrative patterns in literary texts using qualitative analysis frameworks.",subfield,U04.06,U04
"Code thematic, stylistic, or narrative patterns in literary texts using systematic qualitative analysis methods.",subfield,U04.06,U04
"Code theological arguments, doctrinal positions, or devotional practices from primary religious texts.",subfield,U04.06,U04
"Code therapy session transcripts to identify therapeutic techniques, alliance factors, and change mechanisms.",subfield,U04.06,U04
"Code translator interview data for themes related to decision-making, norms, or professional identity.",subfield,U04.06,U04
"Code verbal protocol data to identify cognitive strategies, reasoning processes, or problem-solving approaches.",subfield,U04.06,U04
"Code visual and material evidence from buildings, objects, and archival sources for thematic analysis.",subfield,U04.06,U04
"Code visual elements, iconographic motifs, or stylistic features across bodies of artwork for comparative analysis.",subfield,U04.06,U04
"Collaborate with archaeologists, art historians, and philologists on interdisciplinary medieval research projects.",subfield,U05.01,U05
Collaborate with clinical investigators and laboratory scientists to translate research questions into statistical designs.,subfield,U07.15,U07
Collaborate with community health organizations to recruit underserved populations for health communication studies.,subfield,U01.04,U01
"Collaborate with community members or language consultants to verify transcriptions, translations, and cultural interpretations.",subfield,U04.07,U04
Collaborate with descendant communities and local scholars to gain access to oral traditions and community archives.,subfield,U01.04,U01
Collaborate with heart failure clinics and cardiac rehabilitation programs to facilitate longitudinal patient follow-up.,subfield,U01.04,U01
Collaborate with interdisciplinary clinical teams to integrate research protocols into routine care workflows.,subfield,U07.15,U07
Collaborate with language communities to recruit speakers of understudied languages or dialects.,subfield,U01.04,U01
Collaborate with multidisciplinary oncology teams to facilitate patient enrollment and data collection.,subfield,U01.04,U01
"Collaborate with specialists in archaeobotany, zooarchaeology, or geoarchaeology for integrated analyses of excavated materials.",subfield,U05.01,U05
Collaborate with urology departments and cancer centers for access to surgical specimens and clinical data.,subfield,U01.04,U01
"Collect PET or SPECT imaging data to assess brain metabolism, perfusion, or molecular targets.",subfield,U01.09,U01
Collect X-ray diffraction patterns for phase identification and crystal structure analysis.,subfield,U01.17,U01
Collect X-ray fluorescence or diffraction spectra for material characterization.,subfield,U01.17,U01
"Collect X-ray scattering data to determine polymer crystallinity, lamellar spacing, and nanostructure dimensions.",subfield,U01.17,U01
Collect aerial imagery using unmanned aircraft systems for high-resolution mapping applications.,subfield,U01.14,U01
Collect air samples and aerosol measurements using ground-based or airborne platforms.,subfield,U01.13,U01
"Collect altmetric, download, and social-media attention data for defined sets of scholarly outputs.",subfield,U01.02,U01
"Collect and categorize non-visual sensory data, such as sound and smell, during fieldwork.",subfield,U01.08,U01
Collect and content-analyze documentary sources such as policy documents and web content to characterize practices and claims.,subfield,U28.06,U28
"Collect and curate labeled datasets from public repositories, APIs, or web sources.",subfield,U06.01,U06
Collect and curate text corpora from diverse sources for training and evaluation purposes.,subfield,U06.01,U06
Collect and laboratory-test biological specimens or clinical measurements from participants to obtain objective measures of health status.,subfield,U01.09,U01
Collect and preserve biological specimens using field techniques appropriate to the target taxonomic group.,subfield,U01.12,U01
Collect and process tissue specimens using appropriate fixation and preservation methods.,subfield,U01.16,U01
"Collect and systematically analyze cultural artifacts such as texts, images, or media content for patterns of meaning.",subfield,U28.01,U28
Collect and taxonomically authenticate source organisms used in natural product studies,subfield,U01.12,U01
"Collect audience data through media diaries, think-aloud protocols, or participatory methods.",subfield,U01.06,U01
"Collect audience or reader response data through structured encounters with artworks, literary texts, or media.",subfield,U01.09,U01
Collect bathymetric data using multibeam sonar systems for seafloor mapping.,subfield,U01.14,U01
Collect behavioral and academic data through direct observation of students with disabilities in natural school environments.,subfield,U01.08,U01
"Collect behavioral data through reaction time tasks measuring lexical decision, naming latency, or sentence comprehension accuracy.",subfield,U01.09,U01
Collect biological samples for biomarker analysis in psychiatric research studies.,subfield,U01.10,U01
Collect biological samples from children using minimally invasive techniques appropriate for age and size.,subfield,U01.10,U01
"Collect biological samples such as blood, milk, or feces to assess metabolic status, immune markers, and subclinical disease.",subfield,U01.11,U01
"Collect biological specimens for pathogen detection, culture, or molecular characterization from study participants.",subfield,U01.10,U01
"Collect biological specimens including placental tissue, cord blood, and amniotic fluid for analysis.",subfield,U01.10,U01
Collect biopsy and surgical tissue specimens for histopathology and molecular characterization of animal disease.,subfield,U01.11,U01
"Collect blood samples to measure drug concentrations, inflammatory markers, or coagulation parameters during surgery.",subfield,U01.10,U01
"Collect blood, tissue, and swab specimens from animals for pathogen detection, culture, and molecular characterization.",subfield,U01.11,U01
Collect cerebrospinal fluid samples for biomarker analysis in neurological disease research.,subfield,U01.10,U01
Collect classroom observation data using structured protocols to evaluate teaching practices.,subfield,U01.08,U01
