cluster_id,universal_task_id,universal_task,category,cluster_name,cluster_description,n_tasks
U25.01,U25,"Serve on editorial boards, grant review panels, or professional committees.",Peer Review & Service,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",1
U27.01,U27,"Visualize data and results using graphs, tables, and figures for interpretation.",Data Analysis,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",6
U28.01,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Interpret texts and works through close reading,"Close reading, hermeneutic and semiotic analysis, narrative and formal analysis of texts, artworks, media, and performances.",53
U28.02,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Analyze law and doctrine,"Doctrinal interpretation of statutes, cases, and authoritative sources; legal characterization of facts; reconciling norms; comparative legal analysis; compliance assessment against standards.",38
U28.03,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Construct normative and conceptual arguments,"Original philosophical and normative argumentation: premises to conclusions, thought experiments and hypothetical cases, objections and replies, conceptual analysis of contested terms. Examples: T2625, T2677, T6364, T2445, T2283, T6848.",36
U28.04,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Reconstruct histories from sources,"Historical reconstruction of events, institutions, figures, and practices from documentary and material evidence, with source criticism in use (archival bias, survival bias, silences) and cross-source triangulation.",56
U28.05,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Establish and analyze texts philologically,"Textual criticism and edition-establishing, dating/provenance/authenticity, paleography, etymology and historical-linguistic reconstruction, translation-correspondence analysis. Examples: T0096, T0246, T4282, T5244, T6417, T6419.",24
U28.06,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Interpret qualitative field data,"Grounded theory, phenomenological, discourse, and thematic interpretation of interviews, fieldnotes, and observations; trustworthiness procedures (member checking, triangulation); positionality and reflexivity.",97
U28.07,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Compare cases and assess interpretive scope,"Comparative case interpretation and process tracing; the ""do interpretations transfer across contexts"" family. Examples: T0060, T2319, T6871, T1597, T1608, T4539.",85
U28.99,U28,"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",Data Analysis,Other,Tasks under this universal task that did not fit any of its clusters.,8
U29.01,U29,"Construct formal models, proofs, and derivations to establish theoretical results.",Data Analysis,Prove theorems and derive formal results,"Proof construction, bounds and inequalities, existence/uniqueness/regularity, asymptotics, exact identities, derived consequences of axiom systems.",80
U29.02,U29,"Construct formal models, proofs, and derivations to establish theoretical results.",Data Analysis,"Construct examples, counterexamples, and classifications","Explicit constructions realizing prescribed properties, counterexample searches (including computational), classification up to equivalence.",19
U29.03,U29,"Construct formal models, proofs, and derivations to establish theoretical results.",Data Analysis,Develop formal frameworks and models,"New formalisms, axiomatizations, and notational systems; formal models built for analysis (strategic interaction, decision theory, effective theories); reformulations that transfer problems across frameworks.",17
U29.04,U29,"Construct formal models, proofs, and derivations to establish theoretical results.",Data Analysis,Verify and check formal results,"Checking derivations against special cases and known results, consistency and performance conditions, proof assistants and automated verification.",9
U30.01,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,"Architect systems, algorithms, and protocols","System and hardware architectures, algorithms and data structures as artifacts, network/communication/quantum protocols, interfaces and domain-specific languages, control logic. Examples: T0316, T3439, T3242, T3474, T3487, T3556.",34
U30.02,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,"Implement, integrate, and iterate working systems","Building and integrating prototypes, deploying and refining through use, extended real-condition evaluation, as-built inspection.",21
U30.03,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,"Design syntheses, materials, and formulations","Retrosynthetic and catalyst/ligand design, composition and additive selection, formulation design, design-to-property strategies.",14
U30.04,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,"Fabricate materials, devices, and structures","The fabricate/assemble/process family: deposition and lithography, powder and composite processing, device assembly and transfer, surface modification, scale-up. Examples: T4655, T4662, T4678, T1433, T6499, T6580.",44
U30.05,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,"Design interventions, programs, and practice resources","Health and educational interventions, co-designed programs and curricula, practice guidelines and implementation toolkits.",12
U30.06,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,Produce creative works as inquiry,"Practice-based research: original creative artifacts, staging/installing works for audiences, interaction concept representations.",4
U30.07,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,Evaluate and select technologies against requirements,"Comparing candidate materials/designs/systems against technical criteria, feasibility and deployment assessment, deriving design requirements.",12
U30.99,U30,"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",Design & Development,Other,Tasks under this universal task that did not fit any of its clusters.,2
