field,subfield,task,n_papers,n_involved,prevalence
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Compute molecular potential energy surfaces and rovibrational energy levels numerically.,100,5,0.05
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Configure laser beam paths and optical elements for atom trapping, cooling, or spectroscopy.",100,63,0.63
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Derive expected spectral line positions and intensities using atomic structure theory.,100,10,0.1
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Design magnetic field coil arrangements for atom trapping or Zeeman state manipulation.,100,22,0.22
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Design vacuum chamber configurations to achieve ultra-high vacuum conditions for atomic experiments.,100,19,0.19
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Evaluate systematic uncertainties from stray fields, collisions, and Doppler effects in precision measurements.",100,40,0.4
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Extract atomic or molecular parameters by comparing measured spectra to theoretical models.,100,69,0.69
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Fit spectral lineshapes to extract transition frequencies, widths, and amplitudes.",100,33,0.33
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Maintain and optimize laser systems including alignment, mode quality, and frequency stability.",100,30,0.3
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Maintain optical components including cleaning, alignment verification, and replacement of degraded elements.",100,16,0.16
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Measure fluorescence signals from trapped atoms or molecules to determine state populations.,100,22,0.22
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Model light-matter interactions to predict absorption, emission, and scattering behavior.",100,53,0.53
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Model optical cavity modes and light propagation through complex optical systems.,100,6,0.06
Physics & Astronomy,"Atomic, Molecular & Optical Physics","Record atomic and molecular spectra using photodetectors, spectrometers, or imaging systems.",100,45,0.45
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Service vacuum systems including pump maintenance and leak detection.,100,15,0.15
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Simulate atomic dynamics under laser cooling and trapping conditions.,100,11,0.11
Physics & Astronomy,"Atomic, Molecular & Optical Physics",Stabilize and lock laser frequencies to atomic transitions or optical cavities.,100,32,0.32
Statistics,Bayesian Statistics,Acquire benchmark datasets with known ground truth for validating Bayesian inference procedures.,98,26,0.265306
Statistics,Bayesian Statistics,Assess the transportability of Bayesian model parameters and predictions to new contexts or populations.,98,6,0.061224
Statistics,Bayesian Statistics,Compare competing models using Bayes factors or information criteria to guide model selection.,98,23,0.234694
Statistics,Bayesian Statistics,Conduct posterior predictive checks to assess model fit and identify systematic discrepancies.,98,9,0.091837
Statistics,Bayesian Statistics,Design measurement protocols that capture uncertainty and variability needed for probabilistic modeling.,98,20,0.204082
Statistics,Bayesian Statistics,Develop data collection instruments that elicit prior beliefs or subjective probability judgments from respondents.,98,7,0.071429
Statistics,Bayesian Statistics,"Diagnose convergence of sampling algorithms using trace plots, effective sample sizes, and diagnostic statistics.",98,26,0.265306
Statistics,Bayesian Statistics,Evaluate the sensitivity of posterior inferences to prior specifications across different population subgroups.,98,2,0.020408
Statistics,Bayesian Statistics,Formulate research questions using Bayesian decision-theoretic frameworks to quantify risks and expected utilities.,98,17,0.173469
Statistics,Bayesian Statistics,Frame hypotheses in terms of prior distributions and updating mechanisms to reflect existing theoretical knowledge.,98,60,0.612245
Statistics,Bayesian Statistics,Implement Markov chain Monte Carlo sampling algorithms to estimate posterior distributions.,98,39,0.397959
Statistics,Bayesian Statistics,Perform sensitivity analyses to evaluate how conclusions change under alternative prior specifications.,98,32,0.326531
Statistics,Bayesian Statistics,Propagate measurement uncertainty through hierarchical models to obtain calibrated interval estimates.,98,34,0.346939
Statistics,Bayesian Statistics,Quantify and communicate posterior uncertainty in risk estimates for decision-making applications.,98,53,0.540816
Statistics,Bayesian Statistics,Specify informative or weakly informative prior distributions based on domain knowledge and previous studies.,98,72,0.734694
Statistics,Bayesian Statistics,Structure observed data into likelihood functions appropriate for Bayesian model specification.,98,87,0.887755
Economics,Behavioral & Experimental Economics,"Administer economic games such as dictator, ultimatum, public goods, or trust games to measure social preferences.",379,92,0.242744
Economics,Behavioral & Experimental Economics,Analyze treatment effects from randomized experiments using appropriate statistical tests for between-subject and within-subject designs.,379,233,0.614776
Economics,Behavioral & Experimental Economics,"Apply prospect theory, bounded rationality, or social preference models to formulate testable hypotheses about economic decision-making.",379,164,0.432718
Economics,Behavioral & Experimental Economics,Assess external validity of laboratory findings by considering differences between student samples and general populations.,379,44,0.116095
Economics,Behavioral & Experimental Economics,Conduct laboratory experiments using computerized interfaces to collect incentivized choice data from participants.,379,135,0.356201
Economics,Behavioral & Experimental Economics,Construct belief elicitation tasks using proper scoring rules to measure subjective probabilities.,379,22,0.058047
Economics,Behavioral & Experimental Economics,"Design incentive-compatible elicitation mechanisms to measure risk preferences, time preferences, or social preferences.",379,98,0.258575
Economics,Behavioral & Experimental Economics,Develop deception-free experimental protocols that maintain credibility with participants while testing behavioral hypotheses.,379,61,0.16095
Economics,Behavioral & Experimental Economics,Estimate structural parameters of utility functions or decision models from experimental choice data.,379,61,0.16095
Economics,Behavioral & Experimental Economics,"Evaluate whether experimental results replicate across different incentive structures, stake sizes, or cultural contexts.",379,69,0.182058
Economics,Behavioral & Experimental Economics,Implement online experiments through platforms to collect behavioral data from geographically dispersed participants.,379,56,0.147757
Economics,Behavioral & Experimental Economics,"Incorporate insights from behavioral anomalies such as loss aversion, present bias, or framing effects into research design.",379,83,0.218997
Economics,Behavioral & Experimental Economics,Prepare informed consent procedures that explain incentive payments and experimental tasks without revealing hypotheses.,379,88,0.23219
Economics,Behavioral & Experimental Economics,Run field experiments by randomizing treatments in natural economic environments to measure behavioral responses.,379,34,0.08971
Economics,Behavioral & Experimental Economics,"Test for order effects, learning, and fatigue in within-subject experimental designs.",379,83,0.218997
Neuroscience,Behavioral Neuroscience,Account for baseline individual differences in neural activity when estimating intervention effects on behavior.,100,4,0.04
Neuroscience,Behavioral Neuroscience,Control for circadian timing and sleep history when analyzing behavioral or neural outcome measures.,100,30,0.3
Neuroscience,Behavioral Neuroscience,Coordinate with clinical neurology or psychiatry departments for patient recruitment and phenotyping.,100,1,0.01
Neuroscience,Behavioral Neuroscience,Design behavioral paradigms with appropriate control conditions to isolate specific neural or cognitive processes.,100,89,0.89
Neuroscience,Behavioral Neuroscience,Develop testable predictions about neural circuit mechanisms underlying stress-induced behavioral changes.,100,5,0.05
Neuroscience,Behavioral Neuroscience,Formulate hypotheses linking specific neurotransmitter systems to behavioral phenotypes or cognitive functions.,100,32,0.32
Neuroscience,Behavioral Neuroscience,Generate hypotheses about the neurobiological substrates of motor learning and adaptation.,100,2,0.02
Neuroscience,Behavioral Neuroscience,Harmonize behavioral scoring criteria and operational definitions across multiple experimental sites or raters.,100,6,0.06
Neuroscience,Behavioral Neuroscience,Obtain IACUC approval for animal research protocols involving behavioral testing and neural manipulations.,100,70,0.7
Neuroscience,Behavioral Neuroscience,Plan within-subject or between-subject experimental designs to assess treatment effects on behavior.,100,87,0.87
Neuroscience,Behavioral Neuroscience,Prepare IRB protocols detailing risks and benefits of neuroimaging or pharmacological challenge studies in human participants.,100,13,0.13
Neuroscience,Behavioral Neuroscience,Screen and recruit participants based on neurological health status and medication use criteria.,100,12,0.12
Neuroscience,Behavioral Neuroscience,Select validated behavioral assays and outcome measures appropriate for the neural systems under investigation.,100,91,0.91
Neuroscience,Behavioral Neuroscience,Standardize neuroimaging preprocessing pipelines to enable cross-study comparisons.,100,0,0.0
Religion,Biblical Studies,Analyze intertextual relationships between biblical passages and other ancient Near Eastern or Greco-Roman literature.,199,128,0.643216
Religion,Biblical Studies,"Apply historical-critical, literary, or theological frameworks when formulating research questions about biblical texts.",200,196,0.98
Religion,Biblical Studies,"Assess whether interpretive findings from specific biblical passages apply across different canonical traditions, historical periods, or faith communities.",200,63,0.315
Religion,Biblical Studies,"Code thematic patterns, rhetorical structures, or theological motifs within biblical and related ancient texts.",200,176,0.88
Religion,Biblical Studies,Design interview protocols to gather perspectives from religious communities on biblical interpretation and practice.,199,3,0.015075
Religion,Biblical Studies,Normalize orthographic and linguistic variations in ancient language texts for systematic comparison.,199,7,0.035176
Religion,Biblical Studies,Transcribe and collate ancient manuscript witnesses to establish textual evidence for analysis.,199,6,0.030151
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Advise institutions on the responsible use of metrics within research assessment and evaluation frameworks.,100,7,0.07
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Assemble datasets linking authors, institutions, funders, and grants through record linkage and identifier matching.",100,17,0.17
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Assess whether bibliometric indicators are comparable across disciplines with differing citation and authorship cultures.,100,34,0.34
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Collect altmetric, download, and social-media attention data for defined sets of scholarly outputs.",100,6,0.06
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Compute and validate citation-based indicators, field-normalized scores, and network centrality measures.",100,75,0.75
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Conceptualize altmetrics and usage-based indicators to capture broader scholarly and societal engagement with research.,100,7,0.07
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Construct co-authorship, citation, or co-word networks to model the structure and dynamics of research communities.",100,24,0.24
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Design field-normalized indicators that account for disciplinary differences in citation rates and publication volume.,100,24,0.24
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Develop hypotheses about knowledge diffusion, collaboration, and the emergence of research fields from science-of-science frameworks.",100,10,0.1
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Disambiguate author names and unify institutional affiliations to build reliable bibliometric datasets.,100,33,0.33
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Evaluate how database coverage and indexing choices limit the generalizability of bibliometric findings.,100,30,0.3
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Formulate models of scientific careers, productivity, and the aging and obsolescence of knowledge over time.",100,12,0.12
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Formulate questions about open access and alternative publishing models and their effects on citation impact and readership.,100,6,0.06
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Frame research questions using citation theory and normative or social-constructivist accounts of why scholars cite.,100,9,0.09
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Ground studies of research evaluation in responsible-metrics principles such as the Leiden Manifesto or DORA.,100,1,0.01
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Harvest publication and citation records from bibliographic databases and open scholarly metadata sources.,100,85,0.85
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Interrogate gender, geographic, and prestige-based disparities and Matthew effects in citation and evaluation systems.",100,30,0.3
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Model publication and citation dynamics using regression, network, or topic-modeling approaches.",100,50,0.5
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication",Translate bibliometric analyses into evaluation reports and policy briefs for administrators and funders.,100,4,0.04
Library & Information Science,"Bibliometrics, Scientometrics & Scholarly Communication","Weigh the ethical and equity implications of using metrics in hiring, funding, and promotion decisions.",100,8,0.08
Biomedical Sciences,Biochemistry,Acquire fluorescence or absorbance spectroscopy data to characterize protein structure and interactions.,99,17,0.171717
Biomedical Sciences,Biochemistry,Analyze binding affinity data to determine dissociation constants and thermodynamic parameters.,99,10,0.10101
Biomedical Sciences,Biochemistry,Collect gel electrophoresis and Western blot images for protein analysis.,99,57,0.575758
Biomedical Sciences,Biochemistry,Design enzyme kinetics experiments with appropriate substrate concentrations and time points.,99,13,0.131313
Biomedical Sciences,Biochemistry,Design mutagenesis experiments to probe structure-function relationships in proteins.,99,33,0.333333
Biomedical Sciences,Biochemistry,Develop hypotheses about post-translational modifications and their functional consequences.,99,20,0.20202
Biomedical Sciences,Biochemistry,Establish appropriate positive and negative controls for biochemical assays.,99,66,0.666667
Biomedical Sciences,Biochemistry,"Express and purify recombinant proteins from bacterial, yeast, insect, or mammalian expression systems.",99,44,0.444444
Biomedical Sciences,Biochemistry,Fit enzyme kinetics data to determine kinetic parameters and compare between conditions.,99,12,0.121212
Biomedical Sciences,Biochemistry,Formulate hypotheses about enzyme catalytic mechanisms based on structural and kinetic data.,99,15,0.151515
Biomedical Sciences,Biochemistry,Generate mass spectrometry data for protein identification and quantification.,99,15,0.151515
Biomedical Sciences,Biochemistry,"Isolate and purify nucleic acids, proteins, or lipids from biological samples.",99,60,0.606061
Biomedical Sciences,Biochemistry,Perform chromatography-based separation and analysis of biomolecules.,99,39,0.393939
Biomedical Sciences,Biochemistry,Perform statistical comparisons of protein expression or activity levels across experimental groups.,99,53,0.535354
Biomedical Sciences,Biochemistry,Plan protein expression and purification strategies for structural or functional studies.,99,49,0.494949
Biomedical Sciences,Biochemistry,Prepare cell lysates and subcellular fractions for biochemical analysis.,99,51,0.515152
Biomedical Sciences,Biochemistry,Process mass spectrometry raw data for peptide and protein identification.,99,12,0.121212
Biomedical Sciences,Biochemistry,Propose mechanistic models for protein-protein or protein-ligand interactions.,99,56,0.565657
Biology,Bioinformatics & Computational Biology,Assemble de novo transcriptomes or genomes from short or long read sequencing data.,99,49,0.494949
Biology,Bioinformatics & Computational Biology,Cluster biological samples or features using unsupervised learning methods to identify patterns.,99,14,0.141414
Biology,Bioinformatics & Computational Biology,Conduct pathway enrichment and gene ontology analyses to interpret lists of significant genes.,99,37,0.373737
Biology,Bioinformatics & Computational Biology,Design computational experiments with appropriate parameter sweeps and baseline comparisons for algorithm benchmarking.,99,17,0.171717
Biology,Bioinformatics & Computational Biology,Develop hypotheses about protein structure-function relationships using sequence and structural data.,99,11,0.111111
Biology,Bioinformatics & Computational Biology,Formulate hypotheses about gene regulatory networks based on computational analysis of expression data.,99,8,0.080808
Biology,Bioinformatics & Computational Biology,Generate hypotheses about evolutionary relationships among species or gene families through phylogenetic analysis.,99,30,0.30303
Biology,Bioinformatics & Computational Biology,Identify genetic variants by calling SNPs and indels from aligned genomic sequencing data.,99,10,0.10101
Biology,Bioinformatics & Computational Biology,Perform differential gene expression analysis between experimental conditions using statistical models.,99,28,0.282828
Biology,Bioinformatics & Computational Biology,Plan cross-validation strategies and train-test splits for machine learning model evaluation.,99,4,0.040404
Anthropology,Biological & Physical Anthropology,Account for taphonomic processes and preservation bias when interpreting patterns in skeletal assemblages.,100,40,0.4
Anthropology,Biological & Physical Anthropology,Apply evolutionary and adaptive frameworks when formulating hypotheses about human biological variation and behavior.,100,45,0.45
Anthropology,Biological & Physical Anthropology,Clean and standardize osteometric measurements and morphological scoring data for statistical analysis.,100,48,0.48
Anthropology,Biological & Physical Anthropology,Collect primary osteological data through systematic examination and measurement of skeletal remains.,100,66,0.66
Anthropology,Biological & Physical Anthropology,Conduct field excavations to recover human skeletal remains and associated archaeological materials.,100,11,0.11
Anthropology,Biological & Physical Anthropology,"Control for age, sex, and population affinity when analyzing skeletal variation or disease prevalence.",100,59,0.59
Anthropology,Biological & Physical Anthropology,Design protocols for collecting oral histories or ethnographic accounts related to mortuary practices or population histories.,100,2,0.02
Anthropology,Biological & Physical Anthropology,Develop standardized osteometric data collection forms to systematically record skeletal measurements and morphological traits.,100,8,0.08
Anthropology,Biological & Physical Anthropology,"Evaluate whether skeletal or fossil findings can be generalized across geographic regions, temporal periods, or population groups.",100,53,0.53
Anthropology,Biological & Physical Anthropology,Navigate ethical guidelines and repatriation laws when conducting research on skeletal collections or archaeological materials.,100,18,0.18
Anthropology,Biological & Physical Anthropology,"Obtain permits and approvals from descendant communities, tribal authorities, or government agencies for research involving human remains.",100,23,0.23
Anthropology,Biological & Physical Anthropology,"Score and classify pathological lesions, trauma patterns, or developmental anomalies observed on skeletal remains.",100,19,0.19
Materials Science,Biomaterials,"Assess mechanical properties of biomaterials through tensile, compression, and nanoindentation testing.",99,33,0.333333
Materials Science,Biomaterials,Characterize surface morphology and microstructure using electron microscopy and atomic force microscopy.,99,68,0.686869
Materials Science,Biomaterials,Crosslink or functionalize biopolymers to modify mechanical or biological properties.,99,38,0.383838
Materials Science,Biomaterials,"Design experiments with controlled humidity, temperature, and pH to simulate physiological or environmental conditions.",99,52,0.525253
Materials Science,Biomaterials,Determine molecular weight distributions of biopolymers using gel permeation chromatography.,99,4,0.040404
Materials Science,Biomaterials,"Extract and purify natural biopolymers from plant, animal, or microbial sources.",99,17,0.171717
Materials Science,Biomaterials,"Fabricate polymer scaffolds, films, or fibers using electrospinning, casting, or freeze-drying techniques.",99,31,0.313131
Materials Science,Biomaterials,Fit kinetic models to biodegradation or swelling data to determine rate constants and mechanisms.,99,7,0.070707
Materials Science,Biomaterials,Measure thermal transitions and stability using differential scanning calorimetry and thermogravimetric analysis.,99,18,0.181818
Materials Science,Biomaterials,Model drug release kinetics from polymer matrices or scaffold systems using diffusion equations.,99,3,0.030303
Materials Science,Biomaterials,Model scaffold porosity and transport properties using finite element analysis.,99,0,0.0
Materials Science,Biomaterials,Plan in vitro cell culture studies to evaluate biomaterial biocompatibility and cytotoxicity.,99,32,0.323232
Materials Science,Biomaterials,"Predict mechanical, thermal, or degradation behavior of biomaterials using structure-property relationships.",99,21,0.212121
Materials Science,Biomaterials,Quantify variability in biomaterial properties across multiple sample batches and biological replicates.,99,52,0.525253
Materials Science,Biomaterials,"Service and troubleshoot electrospinning, extrusion, and polymer processing equipment.",99,0,0.0
Materials Science,Biomaterials,Simulate molecular interactions between biomaterials and biological molecules using computational methods.,99,3,0.030303
Materials Science,Biomaterials,Synthesize nanoparticles or nanocomposites for incorporation into biomaterial matrices.,99,11,0.111111
Engineering,Biomedical Engineering,"Acquire physiological signals including electromyography, electrocardiography, or electroencephalography from human subjects or animal models.",100,19,0.19
Engineering,Biomedical Engineering,"Apply mass transport and diffusion equations to predict drug delivery, nutrient exchange, or molecular transport in biological systems.",100,2,0.02
Engineering,Biomedical Engineering,Calculate bioelectrical signal characteristics from tissue electrical properties and electrode configurations.,100,10,0.1
Engineering,Biomedical Engineering,"Collect mechanical testing data from biological tissues or biomaterial samples using tensile, compression, or fatigue testing equipment.",100,11,0.11
Engineering,Biomedical Engineering,Culture cells and tissues for experimental studies on device biocompatibility or tissue regeneration.,100,12,0.12
Engineering,Biomedical Engineering,"Derive biomechanical predictions from musculoskeletal models to estimate joint forces, tissue stresses, or movement kinematics.",100,5,0.05
Engineering,Biomedical Engineering,Design biocompatibility and cytotoxicity testing protocols following regulatory standards.,100,7,0.07
Engineering,Biomedical Engineering,"Design in vitro experiments with controlled physiological conditions including temperature, pH, oxygen levels, and sterility.",100,16,0.16
Engineering,Biomedical Engineering,"Establish mechanical loading protocols to simulate physiological or pathological conditions on cells, tissues, or devices.",100,21,0.21
Engineering,Biomedical Engineering,"Execute computational models of neural activity, muscle activation, or physiological control systems.",100,4,0.04
Engineering,Biomedical Engineering,"Fabricate tissue engineering scaffolds using biocompatible polymers, hydrogels, or composite materials.",100,4,0.04
Engineering,Biomedical Engineering,Fit constitutive models to characterize mechanical properties of biological tissues and biomaterials.,100,4,0.04
Engineering,Biomedical Engineering,Manufacture microfluidic devices and lab-on-chip platforms for biological assays.,100,12,0.12
Engineering,Biomedical Engineering,Produce prototype medical devices and implants using additive manufacturing or conventional fabrication methods.,100,41,0.41
Engineering,Biomedical Engineering,Propagate uncertainty through image-based measurements of anatomical structures or tissue properties.,100,0,0.0
Engineering,Biomedical Engineering,Quantify measurement variability in biomechanical assessments across repeated trials and multiple subjects.,100,16,0.16
Engineering,Biomedical Engineering,Record motion capture and force plate data during human movement studies.,100,7,0.07
Engineering,Biomedical Engineering,"Run finite element simulations to analyze stress distributions in implants, prosthetics, or biological tissues.",100,12,0.12
Engineering,Biomedical Engineering,"Simulate fluid dynamics in cardiovascular devices, microfluidic systems, or respiratory models.",100,5,0.05
Engineering,Biomedical Engineering,Validate computational models against experimental measurements from benchtop or in vivo studies.,100,42,0.42
Biomedical Sciences,Biomedical Engineering & Imaging,Acquire bioluminescence or chemiluminescence signals from reporter systems or labeled probes.,100,10,0.1
Biomedical Sciences,Biomedical Engineering & Imaging,"Acquire fluorescence microscopy images using confocal, widefield, or multiphoton imaging systems.",100,52,0.52
Biomedical Sciences,Biomedical Engineering & Imaging,Capture electron microscopy images of biological ultrastructure using transmission or scanning electron microscopes.,100,17,0.17
Biomedical Sciences,Biomedical Engineering & Imaging,"Collect spectroscopic data from biological samples using Raman, infrared, or fluorescence spectroscopy.",100,18,0.18
Biomedical Sciences,Biomedical Engineering & Imaging,Compare imaging-derived metrics between experimental and control groups using appropriate statistical methods.,100,58,0.58
Biomedical Sciences,Biomedical Engineering & Imaging,Culture cells on biomaterial substrates or scaffolds for imaging and mechanical testing.,100,10,0.1
Biomedical Sciences,Biomedical Engineering & Imaging,"Design imaging experiments with appropriate controls for autofluorescence, photobleaching, and background signal.",100,27,0.27
Biomedical Sciences,Biomedical Engineering & Imaging,Develop hypotheses relating imaging biomarkers to disease progression or treatment outcomes.,100,7,0.07
Biomedical Sciences,Biomedical Engineering & Imaging,Extract quantitative measurements from spectroscopic data through baseline correction and peak analysis.,100,13,0.13
Biomedical Sciences,Biomedical Engineering & Imaging,Formulate hypotheses about cellular responses to mechanical stimuli or biomaterial interactions.,100,1,0.01
Biomedical Sciences,Biomedical Engineering & Imaging,"Maintain and calibrate microscopy systems including light sources, objectives, and detectors.",100,18,0.18
Biomedical Sciences,Biomedical Engineering & Imaging,Obtain IACUC approval for in vivo imaging studies involving animal models.,100,30,0.3
Biomedical Sciences,Biomedical Engineering & Imaging,Perform statistical analysis of biosensor response data across multiple experimental conditions.,100,14,0.14
Biomedical Sciences,Biomedical Engineering & Imaging,Plan biosensor validation studies with appropriate positive and negative controls.,100,15,0.15
Biomedical Sciences,Biomedical Engineering & Imaging,"Prepare biological specimens through fixation, sectioning, or staining for microscopy analysis.",100,51,0.51
Biomedical Sciences,Biomedical Engineering & Imaging,"Process raw microscopy images through background subtraction, deconvolution, and noise reduction.",100,33,0.33
Biomedical Sciences,Biomedical Engineering & Imaging,Segment and quantify cellular features from microscopy images using image analysis software.,100,47,0.47
Physics & Astronomy,Biophysics,Acquire time-resolved spectroscopic data to characterize biomolecular dynamics and reaction kinetics.,100,9,0.09
Physics & Astronomy,Biophysics,"Apply background subtraction, drift correction, and photobleaching corrections to fluorescence imaging data.",100,11,0.11
Physics & Astronomy,Biophysics,Apply statistical mechanics principles to predict ensemble behavior of biological macromolecules.,100,29,0.29
Physics & Astronomy,Biophysics,"Calibrate optical traps, atomic force microscopes, and other force spectroscopy instruments for single-molecule measurements.",99,18,0.181818
Physics & Astronomy,Biophysics,Characterize point spread functions and optical aberrations in fluorescence microscopy systems.,99,1,0.010101
Physics & Astronomy,Biophysics,"Collect structural data using X-ray crystallography, cryo-electron microscopy, or nuclear magnetic resonance spectroscopy.",99,3,0.030303
Physics & Astronomy,Biophysics,"Derive thermodynamic and kinetic predictions for biomolecular folding, binding, and conformational changes.",100,35,0.35
Physics & Astronomy,Biophysics,"Design experiments with controlled temperature, pH, ionic strength, and buffer conditions for studying biological samples.",100,43,0.43
Physics & Astronomy,Biophysics,Establish environmental controls for live cell imaging and single-molecule experiments.,100,12,0.12
Physics & Astronomy,Biophysics,"Express, purify, and characterize proteins and nucleic acids for biophysical experiments.",100,27,0.27
Physics & Astronomy,Biophysics,Fit kinetic models to time-resolved spectroscopic or single-molecule trajectory data.,100,47,0.47
Physics & Astronomy,Biophysics,"Perform coarse-grained simulations of membrane systems, protein assemblies, or cellular processes.",100,28,0.28
Physics & Astronomy,Biophysics,"Prepare lipid bilayers, vesicles, and membrane systems for reconstitution studies.",99,6,0.060606
Physics & Astronomy,Biophysics,Process raw diffraction patterns or electron micrographs to extract structural information.,99,5,0.050505
Physics & Astronomy,Biophysics,Propagate errors through force calibration and distance measurements in single-molecule experiments.,99,17,0.171717
Physics & Astronomy,Biophysics,"Quantify uncertainties in measured binding affinities, rate constants, and thermodynamic parameters.",100,21,0.21
Physics & Astronomy,Biophysics,Record force-extension curves and mechanical responses of single molecules or cellular structures.,99,18,0.181818
Physics & Astronomy,Biophysics,"Refine structural models against experimental scattering, diffraction, or spectroscopic constraints.",99,2,0.020202
Physics & Astronomy,Biophysics,"Run molecular dynamics simulations to model biomolecular structure, dynamics, and interactions.",100,12,0.12
Physics & Astronomy,Biophysics,Service and troubleshoot sample preparation equipment including ultracentrifuges and chromatography systems.,99,0,0.0
Statistics,Biostatistics,Acquire and integrate publicly available genomic or clinical datasets for secondary analysis.,100,20,0.2
Statistics,Biostatistics,Apply survival analysis techniques to model time-to-event outcomes with censored data.,100,14,0.14
Statistics,Biostatistics,Assess and quantify heterogeneity and publication bias in systematic reviews.,100,17,0.17
Statistics,Biostatistics,Assess generalizability of statistical findings across diverse patient populations and clinical settings.,100,13,0.13
Statistics,Biostatistics,Collaborate with clinical investigators and laboratory scientists to translate research questions into statistical designs.,100,17,0.17
Statistics,Biostatistics,Conduct meta-analyses using random-effects models to synthesize treatment effects across heterogeneous studies.,100,18,0.18
Statistics,Biostatistics,Design case report forms to standardize collection of clinical and demographic variables across study sites.,100,1,0.01
Statistics,Biostatistics,Develop and validate risk prediction models using regression and machine learning approaches.,100,4,0.04
Statistics,Biostatistics,Develop data safety monitoring plans to guide interim analyses and stopping rules for clinical trials.,100,2,0.02
Statistics,Biostatistics,Evaluate transportability of effect estimates from study samples to external target populations.,100,0,0.0
Statistics,Biostatistics,Extract and harmonize data from electronic health records for epidemiological analysis.,100,5,0.05
Statistics,Biostatistics,Fit mixed-effects models to account for clustering in multi-site or longitudinal health data.,100,11,0.11
Statistics,Biostatistics,Frame research questions around causal inference frameworks to estimate treatment effects in health outcomes.,100,3,0.03
Statistics,Biostatistics,Handle missing data through multiple imputation or other principled statistical methods.,100,15,0.15
Statistics,Biostatistics,Implement propensity score methods to adjust for confounding in observational health studies.,100,1,0.01
Statistics,Biostatistics,"Prepare statistical analysis plans specifying primary endpoints, sample size justification, and analysis methods for IRB submission.",100,3,0.03
Biology,Botany & Plant Biology,"Analyze plant growth, biomass, or yield data across experimental treatments using appropriate statistical models.",100,37,0.37
Biology,Botany & Plant Biology,Assemble and annotate plant genome or transcriptome sequences for functional analysis.,100,9,0.09
Biology,Botany & Plant Biology,Conduct phylogenetic analyses to infer evolutionary relationships among plant lineages.,100,7,0.07
Biology,Botany & Plant Biology,"Design greenhouse or growth chamber experiments with controlled light, temperature, and humidity conditions.",100,27,0.27
Biology,Botany & Plant Biology,Design reciprocal transplant or common garden experiments to distinguish genetic and environmental effects on plant traits.,100,1,0.01
Biology,Botany & Plant Biology,Develop hypotheses regarding phylogenetic relationships among plant taxa based on morphological or molecular evidence.,100,5,0.05
Biology,Botany & Plant Biology,Establish field plot experiments with appropriate spatial arrangements to account for environmental heterogeneity.,100,22,0.22
Biology,Botany & Plant Biology,"Formulate hypotheses about plant physiological responses to environmental stressors such as drought, temperature, or nutrient availability.",100,25,0.25
Biology,Botany & Plant Biology,Propose mechanisms underlying plant-microbe or plant-fungal symbiotic interactions.,100,5,0.05
Religion,Buddhist & Eastern Religions,Apply doctrinal frameworks from Buddhist philosophical traditions to frame research questions about religious practice and belief.,199,119,0.59799
Religion,Buddhist & Eastern Religions,Assess whether findings from studies of specific Buddhist communities or texts apply across different regional traditions and historical periods.,199,37,0.18593
Religion,Buddhist & Eastern Religions,"Code ethnographic field notes and interview transcripts for themes related to religious identity, ritual practice, and doctrinal interpretation.",199,10,0.050251
