task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
Incorporate survey design features such as sampling weights and clustering into estimation to produce population-representative estimates.,subfield,Social Sciences,Economics,Health Economics,5.0,0.0,85.0,5.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.5,0.0,0.0,1.0,8.69,9.82,7.96,yes,2.0,4.0,Edison,18.0,substep_mean
"Test the credibility of identifying assumptions using diagnostic, placebo, or sensitivity analyses.",subfield,Social Sciences,Economics,Health Economics,5.0,15.0,60.0,15.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,0.0,5.0,2.24,0.0,0.0,1.0,7.23,9.6,7.48,yes,3.0,4.0,Edison,18.0,substep_mean
"Estimate choice or valuation models from stated-preference data to derive preference weights, utility tariffs, or willingness-to-pay values.",subfield,Social Sciences,Economics,Health Economics,5.0,0.0,75.0,15.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.14,0.0,0.08,1.0,6.9,9.08,7.37,yes,3.0,5.0,Edison,18.0,substep_mean
Discount future costs and health outcomes to present value in long-horizon economic evaluations.,subfield,Social Sciences,Economics,Health Economics,5.0,0.0,85.0,5.0,5.0,100.0,0.0,0.0,5.0,85.0,0.0,10.0,0.0,1.49,0.0,0.23,1.0,9.08,10.0,9.39,yes,1.0,5.0,Edison,16.0,substep_mean
Construct decision-analytic simulation models of disease progression to project long-term costs and health outcomes.,subfield,Social Sciences,Economics,Health Economics,15.0,0.0,65.0,15.0,5.0,95.0,0.0,5.0,10.0,45.0,0.0,45.0,0.0,2.42,0.0,0.76,1.0,7.04,8.85,7.26,yes,2.0,5.0,Edison,18.0,substep_mean
"Model skewed healthcare expenditure data using two-part, hurdle, or log-linked regression specifications with appropriate retransformation.",subfield,Social Sciences,Economics,Health Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.97,0.0,0.0,1.0,7.99,9.69,7.94,yes,2.0,4.0,Edison,18.0,substep_mean
"Characterize and decompose variation in healthcare prices, spending, or provider performance across providers, regions, and time.",subfield,Social Sciences,Economics,Health Economics,10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,0.0,5.0,1.53,0.0,1.11,1.0,7.4,9.05,7.32,yes,3.0,4.0,Edison,18.0,substep_mean
"Develop normative welfare-economic frameworks for allocating fixed health budgets, deriving decision rules such as cost-effectiveness thresholds and making embedded value judgements explicit.",subfield,Social Sciences,Economics,Health Economics,15.0,5.0,55.0,20.0,5.0,95.0,0.0,5.0,80.0,10.0,0.0,5.0,5.0,3.11,0.0,0.28,1.0,4.24,7.91,4.81,yes,4.0,5.0,Pasteur,20.0,substep_mean
Design multi-criteria decision analysis frameworks with weighted criteria and scoring rules to support health resource allocation decisions.,subfield,Social Sciences,Economics,Health Economics,15.0,5.0,60.0,15.0,5.0,80.0,0.0,20.0,20.0,40.0,10.0,30.0,0.0,2.47,0.09,0.62,1.0,5.19,6.42,5.18,yes,1.0,5.0,Edison,18.0,substep_mean
"Compile and synthesize documentary, secondary, and case-narrative evidence to support substantive or theoretical claims.",subfield,Social Sciences,Economics,Development Economics,55.0,10.0,15.0,15.0,5.0,85.0,5.0,10.0,10.0,10.0,70.0,0.0,10.0,1.98,0.06,0.0,1.0,4.86,7.97,5.61,yes,4.0,4.0,Pasteur,16.0,substep_mean
Apply poverty trap models or structural transformation theories to frame hypotheses about economic mobility in low-income settings.,subfield,Social Sciences,Economics,Development Economics,30.0,5.0,40.0,20.0,5.0,90.0,0.0,10.0,60.0,15.0,5.0,15.0,5.0,2.57,0.0,0.0,1.0,4.77,8.46,5.29,yes,4.0,4.0,Pasteur,20.0,substep_mean
"Incorporate market failure frameworks when analyzing interventions targeting credit, insurance, or information constraints.",subfield,Social Sciences,Economics,Development Economics,25.0,5.0,45.0,20.0,5.0,90.0,0.0,10.0,45.0,35.0,5.0,10.0,5.0,2.86,0.0,0.0,1.0,4.04,7.04,4.1,yes,4.0,5.0,Pasteur,20.0,substep_mean
"Design household survey modules to measure consumption, income, assets, and economic well-being in low-income populations.",subfield,Social Sciences,Economics,Development Economics,15.0,5.0,65.0,10.0,5.0,55.0,0.0,45.0,5.0,70.0,10.0,15.0,0.0,2.07,0.14,0.14,1.0,5.06,6.19,5.2,yes,3.0,5.0,Edison,18.0,substep_mean
"Develop survey instruments to capture agricultural production, labor allocation, and enterprise activities in rural economies.",subfield,Social Sciences,Economics,Development Economics,15.0,5.0,60.0,10.0,10.0,55.0,5.0,40.0,5.0,40.0,15.0,40.0,0.0,2.06,0.77,0.0,0.78,5.18,5.99,5.05,yes,3.0,4.0,Edison,16.0,substep_mean
Construct questionnaires to measure access to and usage of financial services among underserved populations.,subfield,Social Sciences,Economics,Development Economics,15.0,5.0,65.0,10.0,5.0,55.0,0.0,45.0,5.0,55.0,15.0,25.0,0.0,2.05,0.78,0.3,1.0,4.93,5.81,4.88,yes,2.0,5.0,Edison,16.0,substep_mean
"Design qualitative protocols to understand household decision-making processes around savings, investment, and risk management.",subfield,Social Sciences,Economics,Development Economics,15.0,5.0,60.0,15.0,5.0,55.0,0.0,45.0,15.0,5.0,60.0,20.0,0.0,2.09,0.49,0.59,0.84,3.13,5.24,3.62,yes,4.0,4.0,Pasteur,18.0,substep_mean
Navigate ethical review processes across multiple countries when conducting cross-border development research.,subfield,Social Sciences,Economics,Development Economics,5.0,10.0,5.0,15.0,65.0,45.0,0.0,55.0,0.0,0.0,5.0,5.0,90.0,2.13,0.0,2.37,1.0,4.48,4.74,4.42,no,,,n.a.,18.0,substep_mean
Develop culturally appropriate informed consent procedures for low-literacy populations in field experiments.,subfield,Social Sciences,Economics,Development Economics,10.0,5.0,20.0,15.0,50.0,20.0,5.0,75.0,0.0,5.0,25.0,60.0,10.0,2.07,0.39,2.07,0.81,4.1,4.93,4.47,yes,1.0,5.0,Edison,16.0,substep_mean
Implement household panel surveys to track economic outcomes and behavioral changes over time in developing regions.,subfield,Social Sciences,Economics,Development Economics,5.0,0.0,80.0,5.0,10.0,15.0,5.0,80.0,0.0,85.0,5.0,10.0,0.0,1.89,0.9,0.27,0.65,5.6,5.37,5.37,yes,3.0,4.0,Edison,16.0,substep_mean
Conduct baseline and endline data collection for randomized controlled trials evaluating development interventions.,subfield,Social Sciences,Economics,Development Economics,0.0,0.0,85.0,5.0,10.0,20.0,5.0,75.0,0.0,85.0,5.0,5.0,5.0,1.91,1.18,1.16,0.65,5.21,4.54,4.92,yes,3.0,5.0,Edison,16.0,substep_mean
Train and supervise local enumerator teams to collect high-quality field data in resource-constrained settings.,subfield,Social Sciences,Economics,Development Economics,5.0,10.0,15.0,15.0,55.0,15.0,5.0,80.0,0.0,25.0,15.0,10.0,50.0,2.0,0.72,0.34,0.72,4.92,4.73,4.62,yes,2.0,4.0,Edison,16.0,substep_mean
Acquire and harmonize household survey data from national statistical offices or international development databases.,subfield,Social Sciences,Economics,Development Economics,60.0,5.0,25.0,5.0,5.0,95.0,0.0,5.0,0.0,70.0,5.0,15.0,10.0,1.86,0.0,0.12,1.0,6.43,8.75,6.88,yes,3.0,4.0,Edison,16.0,substep_mean
"Obtain administrative records from government agencies, NGOs, or microfinance institutions for program evaluation.",subfield,Social Sciences,Economics,Development Economics,10.0,0.0,55.0,5.0,30.0,45.0,0.0,55.0,0.0,30.0,10.0,0.0,60.0,1.97,0.27,0.64,1.0,4.89,5.3,4.92,yes,2.0,5.0,Edison,16.0,substep_mean
Access satellite imagery or geospatial data to construct measures of agricultural productivity or infrastructure development.,subfield,Social Sciences,Economics,Development Economics,10.0,0.0,75.0,10.0,5.0,95.0,5.0,0.0,0.0,80.0,0.0,20.0,0.0,1.7,0.0,0.0,1.0,7.94,8.99,7.34,yes,3.0,4.0,Edison,16.0,substep_mean
Determine sample sizes and sampling procedures to select representative samples from target populations.,subfield,Social Sciences,Economics,Development Economics,5.0,0.0,85.0,5.0,5.0,80.0,0.0,20.0,5.0,85.0,0.0,10.0,0.0,2.0,0.0,0.13,1.0,7.34,9.03,7.06,yes,3.0,4.0,Edison,16.0,substep_mean
"Partner with government ministries, NGOs, or international organizations to implement and evaluate development programs.",subfield,Social Sciences,Economics,Development Economics,5.0,5.0,55.0,10.0,25.0,30.0,5.0,65.0,5.0,55.0,10.0,25.0,5.0,2.3,1.2,1.41,0.6,3.86,3.46,3.49,yes,3.0,5.0,Edison,18.0,substep_mean
Coordinate with local research institutions and field offices to facilitate data collection in remote areas.,subfield,Social Sciences,Economics,Development Economics,0.0,0.0,5.0,15.0,80.0,15.0,15.0,70.0,0.0,5.0,5.0,5.0,85.0,2.0,0.88,0.55,0.6,3.95,3.44,3.78,yes,2.0,4.0,Edison,16.0,substep_mean
Assess external validity of experimental findings across different developing country contexts and income levels.,subfield,Social Sciences,Economics,Development Economics,30.0,25.0,35.0,8.0,2.0,90.0,0.0,10.0,10.0,70.0,10.0,5.0,5.0,2.48,0.0,0.0,1.0,5.76,8.08,6.01,yes,3.0,5.0,Edison,20.0,substep_mean
Evaluate whether program effects measured in pilot studies will scale to larger populations or different institutional environments.,subfield,Social Sciences,Economics,Development Economics,15.0,35.0,35.0,10.0,5.0,90.0,0.0,10.0,10.0,70.0,10.0,5.0,5.0,2.82,0.0,0.0,1.0,5.09,6.95,5.39,yes,3.0,5.0,Edison,20.0,substep_mean
Address attrition bias in longitudinal studies tracking mobile or migrating populations in developing regions.,subfield,Social Sciences,Economics,Development Economics,10.0,5.0,65.0,15.0,5.0,75.0,0.0,25.0,5.0,85.0,5.0,5.0,0.0,1.87,0.85,0.51,0.62,5.91,5.25,5.5,yes,3.0,4.0,Edison,18.0,substep_mean
Apply instrumental variable or regression discontinuity methods to identify causal effects of development policies.,subfield,Social Sciences,Economics,Development Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.45,0.0,0.28,1.0,5.77,7.8,5.87,yes,4.0,5.0,Pasteur,18.0,substep_mean
Implement difference-in-differences designs to evaluate the impact of policy reforms or program rollouts.,subfield,Social Sciences,Economics,Development Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.37,0.0,0.0,1.0,6.24,8.19,6.74,yes,3.0,5.0,Edison,16.0,substep_mean
Account for spillover effects and general equilibrium impacts when estimating treatment effects in clustered interventions.,subfield,Social Sciences,Economics,Development Economics,5.0,0.0,80.0,10.0,5.0,90.0,0.0,10.0,15.0,70.0,0.0,15.0,0.0,2.36,0.49,0.99,0.51,4.51,3.95,3.57,yes,3.0,4.0,Edison,20.0,substep_mean
Test the channels transmitting estimated effects using mediation or interaction analysis.,subfield,Social Sciences,Economics,Development Economics,5.0,5.0,70.0,15.0,5.0,90.0,0.0,10.0,5.0,90.0,0.0,0.0,5.0,2.05,0.0,0.0,1.0,6.71,9.25,5.46,yes,4.0,4.0,Pasteur,18.0,substep_mean
Apply environmental economics frameworks such as externality theory or common-pool resource models to structure research questions about market failures.,subfield,Social Sciences,Economics,Environmental & Energy Economics,25.0,0.0,60.0,10.0,5.0,95.0,0.0,5.0,70.0,10.0,5.0,15.0,0.0,2.91,0.0,0.0,1.0,5.42,7.96,4.71,yes,4.0,4.0,Pasteur,18.0,substep_mean
Incorporate energy market structures and regulatory institutions when framing hypotheses about policy impacts.,subfield,Social Sciences,Economics,Environmental & Energy Economics,40.0,5.0,40.0,15.0,0.0,95.0,0.0,5.0,45.0,15.0,30.0,5.0,5.0,2.88,0.0,0.0,1.0,4.87,7.94,5.07,yes,3.0,5.0,Edison,18.0,substep_mean
Draw on established theoretical frameworks to motivate and frame research questions or hypotheses.,subfield,Social Sciences,Economics,Environmental & Energy Economics,45.0,5.0,30.0,20.0,0.0,95.0,0.0,5.0,75.0,10.0,5.0,0.0,10.0,2.76,0.0,0.0,1.0,4.16,7.87,4.35,yes,4.0,3.0,Bohr,20.0,substep_mean
Design stated preference surveys using contingent valuation or choice experiments to elicit willingness to pay for environmental goods.,subfield,Social Sciences,Economics,Environmental & Energy Economics,10.0,5.0,65.0,10.0,10.0,30.0,0.0,70.0,5.0,55.0,10.0,30.0,0.0,2.26,0.19,0.66,1.0,4.18,4.92,3.99,yes,3.0,5.0,Edison,18.0,substep_mean
"Construct survey instruments to measure household energy consumption behaviors, conservation attitudes, or technology adoption intentions.",subfield,Social Sciences,Economics,Environmental & Energy Economics,15.0,5.0,60.0,10.0,10.0,55.0,0.0,45.0,5.0,45.0,15.0,30.0,5.0,2.03,0.11,0.55,1.0,5.65,7.29,5.62,yes,3.0,4.0,Edison,16.0,substep_mean
"Negotiate data sharing agreements with utilities, energy companies, or environmental agencies to access proprietary consumption or emissions records.",subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,5.0,20.0,70.0,20.0,0.0,80.0,0.0,5.0,5.0,0.0,90.0,2.0,0.0,1.43,1.0,4.36,6.01,4.8,no,,,n.a.,16.0,substep_mean
"Assess whether estimated policy effects will transfer across regions with different energy mixes, climate conditions, or regulatory environments.",subfield,Social Sciences,Economics,Environmental & Energy Economics,15.0,20.0,45.0,15.0,5.0,90.0,5.0,5.0,10.0,70.0,10.0,5.0,5.0,2.4,0.0,0.0,1.0,5.62,8.21,6.17,yes,3.0,5.0,Edison,18.0,substep_mean
Evaluate the temporal stability of environmental valuations and energy demand elasticities under changing technological and policy conditions.,subfield,Social Sciences,Economics,Environmental & Energy Economics,15.0,20.0,45.0,15.0,5.0,95.0,0.0,5.0,5.0,85.0,5.0,0.0,5.0,2.42,0.0,0.0,1.0,5.27,8.12,5.79,yes,3.0,4.0,Edison,20.0,substep_mean
Quantify how parameter uncertainty affects model-based estimates through probabilistic and deterministic sensitivity analyses.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,10.0,65.0,15.0,5.0,95.0,0.0,5.0,5.0,80.0,0.0,10.0,5.0,2.12,0.0,0.0,1.0,6.84,9.41,7.2,yes,3.0,4.0,Edison,18.0,substep_mean
Compare quantitative results across alternative simulation models to assess robustness of policy-relevant estimates.,subfield,Social Sciences,Economics,Environmental & Energy Economics,15.0,40.0,25.0,15.0,5.0,95.0,0.0,5.0,5.0,80.0,5.0,5.0,5.0,2.38,0.0,0.0,1.0,6.48,8.35,6.31,yes,3.0,5.0,Edison,18.0,substep_mean
Merge environmental monitoring data with socioeconomic datasets to analyze distributional impacts of pollution or climate policies.,subfield,Social Sciences,Economics,Environmental & Energy Economics,10.0,0.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.95,0.0,0.0,1.0,7.46,8.94,7.53,yes,3.0,5.0,Edison,16.0,substep_mean
"Construct panel datasets linking energy prices, consumption, and policy variables across jurisdictions and time periods.",subfield,Social Sciences,Economics,Environmental & Energy Economics,20.0,5.0,65.0,5.0,5.0,95.0,0.0,5.0,0.0,90.0,0.0,10.0,0.0,1.71,0.0,0.18,1.0,6.92,8.81,7.22,yes,3.0,4.0,Edison,16.0,substep_mean
"Address endogeneity in energy and environmental policy evaluation using instrumental variables, regression discontinuity, or difference-in-differences designs.",subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,80.0,15.0,0.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.45,0.0,0.0,1.0,6.14,8.41,6.81,yes,3.0,4.0,Edison,20.0,substep_mean
Control for spatial spillovers and geographic confounders when estimating localized environmental or energy policy effects.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,80.0,15.0,0.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.01,0.0,0.0,1.0,7.2,9.24,7.54,yes,3.0,4.0,Edison,18.0,substep_mean
Account for selection into energy efficiency programs or environmental regulations when estimating treatment effects.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,0.0,5.0,2.46,0.0,0.0,1.0,6.21,8.25,6.46,yes,3.0,4.0,Edison,20.0,substep_mean
Test the channels transmitting estimated effects using mediation or interaction analysis.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,85.0,0.0,5.0,5.0,2.37,0.0,0.0,1.0,6.07,8.31,6.07,yes,4.0,4.0,Pasteur,18.0,substep_mean
Apply panel estimators that accommodate heterogeneous effects across units or across the outcome distribution.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.18,0.0,0.0,1.0,7.37,9.39,7.23,yes,3.0,4.0,Edison,20.0,substep_mean
Construct stylized numerical examples or accounting models to illustrate and quantify predicted policy effects.,subfield,Social Sciences,Economics,Environmental & Energy Economics,5.0,0.0,70.0,20.0,5.0,95.0,0.0,5.0,30.0,50.0,0.0,15.0,5.0,1.67,0.0,0.0,1.0,7.09,9.51,7.44,yes,3.0,4.0,Edison,16.0,substep_mean
"Specify preference, welfare, or learning structures such as equity weights or recursive utility within dynamic policy models.",subfield,Social Sciences,Economics,Environmental & Energy Economics,10.0,0.0,70.0,15.0,5.0,100.0,0.0,0.0,55.0,30.0,0.0,15.0,0.0,2.86,0.0,0.0,1.0,6.46,9.19,6.51,yes,4.0,4.0,Pasteur,20.0,substep_mean
Design policy packages combining multiple instruments to address environmental market failures.,subfield,Social Sciences,Economics,Environmental & Energy Economics,15.0,5.0,55.0,20.0,5.0,90.0,0.0,10.0,35.0,40.0,5.0,20.0,0.0,3.0,0.0,0.07,1.0,5.06,7.3,5.61,yes,3.0,5.0,Edison,18.0,substep_mean
Reassess published historical estimates by re-examining their sources and methods to reconcile conflicting findings.,subfield,Social Sciences,Economics,Economic History,25.0,40.0,20.0,15.0,0.0,95.0,5.0,0.0,5.0,60.0,25.0,0.0,10.0,2.5,0.0,0.0,1.0,4.89,7.31,5.16,yes,5.0,1.0,Bohr,20.0,substep_mean
"Apply institutional economics frameworks to analyze the role of property rights, legal systems, or governance structures in historical economic development.",subfield,Social Sciences,Economics,Economic History,15.0,0.0,65.0,20.0,0.0,95.0,0.0,5.0,35.0,30.0,25.0,0.0,10.0,2.78,0.0,0.0,1.0,3.71,5.74,4.68,yes,4.0,2.0,Bohr,18.0,substep_mean
"Frame research questions around long-run economic change using theories of technological diffusion, factor endowments, or path dependence.",subfield,Social Sciences,Economics,Economic History,30.0,5.0,45.0,15.0,5.0,95.0,0.0,5.0,55.0,20.0,15.0,0.0,10.0,2.48,0.0,0.0,1.0,3.85,7.49,4.39,yes,5.0,2.0,Bohr,20.0,substep_mean
Assess whether historical economic patterns observed in one region or time period can inform understanding of other contexts with similar institutional conditions.,subfield,Social Sciences,Economics,Economic History,35.0,30.0,20.0,10.0,5.0,90.0,0.0,10.0,20.0,35.0,30.0,0.0,15.0,2.74,0.0,0.0,1.0,4.56,7.38,4.73,yes,4.0,2.0,Bohr,20.0,substep_mean
Evaluate the comparability of economic indicators across different historical periods accounting for structural economic transformations.,subfield,Social Sciences,Economics,Economic History,30.0,40.0,15.0,10.0,5.0,95.0,0.0,5.0,15.0,45.0,30.0,0.0,10.0,2.58,0.0,0.0,1.0,4.31,7.57,4.85,yes,4.0,2.0,Bohr,18.0,substep_mean
Define and harmonize consistent units of observation across data sources and time.,subfield,Social Sciences,Economics,Economic History,25.0,5.0,60.0,5.0,5.0,95.0,3.0,2.0,5.0,80.0,10.0,5.0,0.0,2.06,0.0,0.0,1.0,6.26,8.86,6.33,yes,4.0,2.0,Bohr,16.0,substep_mean
Compare qualitative cases across countries or periods to interpret divergent outcomes.,subfield,Social Sciences,Economics,Economic History,30.0,5.0,45.0,15.0,5.0,90.0,5.0,5.0,15.0,10.0,65.0,0.0,10.0,2.48,1.18,0.0,1.0,3.3,6.42,3.93,yes,4.0,2.0,Bohr,18.0,substep_mean
"Harmonize monetary values, prices, and wages across different historical currencies, units, and time periods.",subfield,Social Sciences,Economics,Economic History,15.0,5.0,65.0,10.0,5.0,95.0,3.0,2.0,5.0,85.0,5.0,3.0,2.0,1.81,0.26,0.0,1.0,6.58,8.43,6.9,yes,4.0,1.0,Bohr,16.0,substep_mean
"Construct and validate historical price indices, GDP estimates, or living standards measures from fragmentary source data.",subfield,Social Sciences,Economics,Economic History,15.0,5.0,60.0,15.0,5.0,95.0,5.0,0.0,5.0,80.0,10.0,5.0,0.0,1.55,0.71,0.0,1.0,6.64,8.02,7.29,yes,4.0,2.0,Bohr,18.0,substep_mean
Analyze primary texts and documentary sources to reconstruct ideas or organize them into analytical categories.,subfield,Social Sciences,Economics,Economic History,20.0,5.0,60.0,10.0,5.0,90.0,5.0,5.0,15.0,5.0,75.0,0.0,5.0,2.41,0.05,0.0,1.0,4.32,7.47,4.97,yes,5.0,1.0,Bohr,16.0,substep_mean
Digitize and code archival or documentary records into structured machine-readable datasets.,subfield,Social Sciences,Economics,Economic History,15.0,0.0,80.0,5.0,0.0,95.0,5.0,0.0,0.0,80.0,10.0,10.0,0.0,1.45,0.29,0.0,0.86,7.64,7.28,7.05,yes,4.0,1.0,Bohr,12.0,substep_mean
Compute financial measures such as implied interest rates or realized returns from historical transaction and account records.,subfield,Social Sciences,Economics,Economic History,5.0,0.0,85.0,10.0,0.0,95.0,5.0,0.0,5.0,90.0,0.0,0.0,5.0,1.49,0.06,0.0,1.0,6.57,8.2,7.27,yes,4.0,1.0,Bohr,16.0,substep_mean
Address measurement error and missing data inherent in historical sources through appropriate statistical adjustments.,subfield,Social Sciences,Economics,Economic History,10.0,5.0,75.0,8.0,2.0,95.0,5.0,0.0,10.0,85.0,5.0,0.0,0.0,2.14,0.0,0.0,1.0,6.66,8.75,7.26,yes,4.0,1.0,Bohr,20.0,substep_mean
Apply econometric methods to identify causal relationships in historical data while accounting for endogeneity and omitted variables.,subfield,Social Sciences,Economics,Economic History,5.0,0.0,80.0,10.0,5.0,95.0,5.0,0.0,5.0,90.0,0.0,0.0,5.0,2.44,0.0,0.0,1.0,5.57,7.9,5.69,yes,5.0,2.0,Bohr,18.0,substep_mean
Analyze the network structure linking economic agents or assets using graph-theoretic measures.,subfield,Social Sciences,Economics,Economic History,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,85.0,5.0,5.0,0.0,2.05,0.0,0.0,1.0,5.69,7.8,6.34,yes,4.0,2.0,Bohr,18.0,substep_mean
Devise computational or counterfactual procedures to produce estimates that standard calculation cannot deliver.,subfield,Social Sciences,Economics,Economic History,10.0,0.0,75.0,10.0,5.0,95.0,0.0,5.0,15.0,65.0,0.0,20.0,0.0,2.17,0.0,0.0,1.0,5.0,7.79,6.17,yes,4.0,2.0,Bohr,20.0,substep_mean
Reconstruct historical episodes and economic behavior through interpretive narrative analysis of primary sources.,subfield,Social Sciences,Economics,Economic History,20.0,0.0,60.0,15.0,5.0,90.0,5.0,5.0,5.0,10.0,80.0,0.0,5.0,2.9,0.94,0.15,1.0,3.65,6.51,4.75,yes,5.0,1.0,Bohr,18.0,substep_mean
"Apply urban economic theories of agglomeration, land use, and spatial equilibrium when formulating research hypotheses about housing markets and regional development.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,20.0,0.0,65.0,10.0,5.0,95.0,0.0,5.0,65.0,20.0,5.0,0.0,10.0,2.84,0.0,0.0,1.0,4.75,8.72,4.93,yes,4.0,4.0,Pasteur,20.0,substep_mean
"Incorporate institutional factors such as zoning regulations, property rights, and housing finance structures into theoretical frameworks for real estate research.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,30.0,5.0,45.0,20.0,0.0,95.0,0.0,5.0,65.0,10.0,15.0,10.0,0.0,2.89,0.0,0.0,1.0,5.11,8.83,5.69,yes,4.0,4.0,Pasteur,20.0,substep_mean
"Design surveys to measure household housing preferences, residential mobility intentions, and neighborhood satisfaction.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,15.0,5.0,65.0,10.0,5.0,55.0,0.0,45.0,5.0,70.0,10.0,15.0,0.0,2.24,0.0,0.34,1.0,5.95,7.48,5.6,yes,3.0,4.0,Edison,16.0,substep_mean
"Develop interview protocols to explore stakeholder perspectives on urban development projects, housing policies, or neighborhood change.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,15.0,0.0,70.0,10.0,5.0,70.0,0.0,30.0,5.0,0.0,70.0,25.0,0.0,2.17,0.3,0.1,1.0,3.94,6.82,4.62,yes,3.0,4.0,Edison,16.0,substep_mean
"Collect primary data on property characteristics, transaction details, or neighborhood conditions through field observations and site visits.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,85.0,5.0,5.0,20.0,60.0,20.0,0.0,60.0,30.0,5.0,5.0,1.92,1.13,0.09,0.54,5.51,5.21,5.13,yes,3.0,4.0,Edison,12.0,substep_mean
"Coordinate with real estate industry associations, housing authorities, or municipal agencies to obtain proprietary data on property listings, rents, or development activity.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,0.0,15.0,15.0,60.0,30.0,0.0,70.0,0.0,5.0,5.0,0.0,90.0,2.0,0.0,0.77,1.0,4.9,5.54,4.83,yes,3.0,4.0,Edison,16.0,substep_mean
"Assess whether housing market findings generalize across metropolitan areas with different regulatory environments, demographic compositions, or economic bases.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,15.0,15.0,55.0,10.0,5.0,95.0,0.0,5.0,5.0,85.0,5.0,0.0,5.0,1.91,0.0,0.21,1.0,6.42,7.34,6.16,yes,3.0,4.0,Edison,20.0,substep_mean
Evaluate the external validity of real estate research across different housing market cycles and macroeconomic conditions.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,25.0,45.0,20.0,8.0,2.0,95.0,0.0,5.0,5.0,70.0,10.0,0.0,15.0,2.19,0.0,0.0,1.0,6.49,8.47,6.04,yes,3.0,4.0,Edison,20.0,substep_mean
Construct affordability or financial-burden indicators by relating expenditure requirements to household income or capacity to pay.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,5.0,85.0,0.0,10.0,0.0,1.71,0.0,0.0,1.0,7.84,9.52,7.98,yes,2.0,5.0,Edison,16.0,substep_mean
"Clean and harmonize property transaction data by addressing inconsistent property identifiers, missing values, and outlier sale prices.",subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,5.0,80.0,5.0,5.0,95.0,0.0,5.0,0.0,90.0,0.0,5.0,5.0,1.6,0.0,0.0,1.0,8.13,9.66,8.74,yes,3.0,3.0,neither,16.0,substep_mean
Apply hedonic regression methods to estimate implicit prices of housing and neighborhood attributes from property transaction data.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,0.0,75.0,15.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.83,0.0,0.0,1.0,7.79,9.38,8.25,yes,3.0,4.0,Edison,18.0,substep_mean
Address spatial autocorrelation and spatial heterogeneity when analyzing housing prices or regional economic outcomes across geographic units.,subfield,Social Sciences,Economics,Urban & Real Estate Economics,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,1.58,0.0,0.0,1.0,7.53,9.16,7.63,yes,3.0,4.0,Edison,18.0,substep_mean
