task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
Develop focus group guides to investigate hospitality employee perspectives on workplace practices and service delivery.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,3,82,2,Core
Conduct participant observation in hospitality settings to document service encounters and guest-staff interactions.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,3,78,2,Core
Elicit structured expert judgments to identify and weight decision criteria for decision models,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,3,72,2,Core
Apply multi-criteria decision-making models to evaluate and rank alternatives,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,3,70,2,Core
Clean and standardize online review data and user-generated content from travel platforms for analysis.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,88,3,Core
Recode open-ended survey responses about travel experiences and service encounters into analyzable categories.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,95,3,Core
Code qualitative data from tourist narratives and travel blogs to identify themes in destination experiences.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,90,3,Core
Analyze interview transcripts from hospitality managers to extract insights about operational challenges and strategic decisions.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,90,3,Core
Address self-selection bias when analyzing data from tourists who voluntarily participate in destination surveys.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,94,3,Core
"Control for confounding variables such as trip purpose, travel party composition, and prior visitation when analyzing tourist behavior.",subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,96,4,Core
"Coordinate with hotels, restaurants, and tourism operators to gain access to guest data and operational records.",subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,92,3,Core
Partner with destination marketing organizations and convention bureaus to recruit study participants and access visitor information.,subfield,Social Sciences,Business & Management,Tourism & Hospitality Management,4,88,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Arts & Humanities,Arts,Architecture & Design,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Arts & Humanities,Arts,Architecture & Design,4,98,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Arts & Humanities,Arts,Architecture & Design,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Arts & Humanities,Arts,Architecture & Design,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Arts & Humanities,Arts,Architecture & Design,4,95,4,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Arts & Humanities,Arts,Architecture & Design,4,92,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Arts & Humanities,Arts,Architecture & Design,3,80,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Arts & Humanities,Arts,Architecture & Design,4,95,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Arts & Humanities,Arts,Architecture & Design,3,90,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Arts & Humanities,Arts,Architecture & Design,3,85,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Arts & Humanities,Arts,Architecture & Design,3,78,3,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Arts & Humanities,Arts,Architecture & Design,3,70,3,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Arts & Humanities,Arts,Architecture & Design,4,98,4,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Arts & Humanities,Arts,Architecture & Design,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Arts & Humanities,Arts,Architecture & Design,4,95,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Arts & Humanities,Arts,Architecture & Design,4,100,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Arts & Humanities,Arts,Architecture & Design,4,98,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Arts & Humanities,Arts,Architecture & Design,3,92,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Arts & Humanities,Arts,Architecture & Design,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Arts & Humanities,Arts,Architecture & Design,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Arts & Humanities,Arts,Architecture & Design,4,92,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Arts & Humanities,Arts,Architecture & Design,4,92,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Arts & Humanities,Arts,Architecture & Design,3,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Arts & Humanities,Arts,Architecture & Design,4,98,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Arts & Humanities,Arts,Architecture & Design,2,70,3,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Arts & Humanities,Arts,Architecture & Design,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Arts & Humanities,Arts,Architecture & Design,5,100,4,Core
"Formulate hypotheses about behavioral, metabolic, and environmental risk factors for chronic diseases such as cardiovascular disease, cancer, and diabetes.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",5,100,4,Core
Develop hypotheses about modifiable risk factors and their potential for primary prevention at the population level.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,97,3,Core
Generate hypotheses about determinants of injury occurrence and the effectiveness of injury-prevention strategies.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,80,2,Core
Propose hypotheses about the natural history of chronic disease and progression from risk factors to clinical outcomes.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,95,3,Core
"Formulate hypotheses about disparities in chronic disease incidence, survival, and outcomes across population subgroups.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,97,3,Core
Design prospective cohort studies to examine long-term risk factors for incident chronic disease.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,92,2,Core
Design case-control studies to investigate risk factors for cancer and other chronic conditions.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,90,2,Core
"Plan evaluations of health-promotion, screening, or prevention programs to assess their impact on disease burden.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,90,2,Core
Design studies to evaluate the effectiveness of injury-prevention interventions and safety policies.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,75,2,Core
Determine appropriate follow-up duration and outcome definitions for studies of slowly developing chronic diseases.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,93,3,Core
"Assess the generalizability of risk-factor associations across age groups, sexes, and diverse populations.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,96,3,Core
"Measure population knowledge, awareness, and treatment status for a chronic disease to identify gaps in prevention and care.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,85,2,Core
Assemble cohorts that link baseline risk-factor measurements to incident disease through registries and record linkage.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,90,3,Core
"Obtain and link cancer registry, hospital discharge, or mortality records to ascertain chronic disease outcomes.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,92,3,Core
"Collect data on diet, physical activity, smoking, and other behavioral exposures using validated questionnaires.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,93,3,Core
Obtain or estimate population denominators from census counts and demographic projection methods for rate calculation.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,88,3,Core
Ascertain chronic disease status from self-reported diagnoses or symptom-based questionnaires when registry data are unavailable.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,88,3,Core
Link geocoded area-level census or administrative indicators to individual participant records to characterize contextual exposures.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,80,3,Core
"Apply survival analysis to model time to chronic disease onset, recurrence, or death with censored follow-up.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",5,98,4,Core
Estimate effects of modifiable risk factors on chronic disease incidence while controlling for confounding.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",5,100,4,Core
Calculate population attributable fractions to quantify the disease burden attributable to specific risk factors.,subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",4,92,3,Core
"Decompose changes in mortality or life expectancy into contributions from risk-factor trends, treatment, and population structure.",subfield,Health Sciences,Public Health & Epidemiology,"Chronic Disease, Cancer & Injury Epidemiology",3,75,2,Core
"Frame an interpretive question in relation to a historiographical, critical, or philosophical tradition.",domain,Arts & Humanities,Literature,American Literature,5,100,4,Core
"Read texts or examine works closely, attending to language, form, structure, and style.",domain,Arts & Humanities,Literature,American Literature,5,100,5,Core
"Establish the text or object of study, determining edition, provenance, authorship, and variants.",domain,Arts & Humanities,Literature,American Literature,4,95,3,Core
"Design a corpus or sampling strategy for the sources, periods, or languages to be examined.",domain,Arts & Humanities,Literature,American Literature,4,92,3,Core
"Observe obligations to the communities whose histories, languages, or cultural heritage are studied, including protocols for sacred or sensitive material.",domain,Arts & Humanities,Literature,American Literature,3,85,2,Core
"Locate primary sources in archives, manuscript collections, museums, or field sites.",domain,Arts & Humanities,Literature,American Literature,4,95,3,Core
"Negotiate access to archives, collections, or field sites and secure the necessary permissions.",domain,Arts & Humanities,Literature,American Literature,3,88,2,Core
"Transcribe, translate, or edit source materials, documenting every editorial choice.",domain,Arts & Humanities,Literature,American Literature,3,82,2,Core
"Annotate a corpus of texts, recordings, or images according to an explicit coding scheme.",domain,Arts & Humanities,Literature,American Literature,2,60,2,Supplemental
"Situate a source within its historical, cultural, and intellectual context to reconstruct its meaning.",domain,Arts & Humanities,Literature,American Literature,5,100,4,Core
"Adjudicate among competing interpretations, weighing textual and contextual evidence.",domain,Arts & Humanities,Literature,American Literature,4,100,4,Core
"Handle rare, fragile, or culturally sensitive materials according to conservation and institutional protocols.",domain,Arts & Humanities,Literature,American Literature,3,85,2,Core
"Develop new concepts, categories, or typologies to organize and explain phenomena that existing frameworks leave unaccounted for",domain,Arts & Humanities,Literature,American Literature,4,95,3,Core
Compare a work with its counterpart in another medium to identify shifts in form and meaning,domain,Arts & Humanities,Literature,American Literature,3,90,3,Core
Draw on the researcher's own experience and background as primary evidence for analysis,domain,Arts & Humanities,Literature,American Literature,2,70,2,Supplemental
Apply concepts or theories drawn from outside the domain under study as interpretive frameworks for its phenomena,domain,Arts & Humanities,Literature,American Literature,4,97,3,Core
"Trace the circulation, reception, and transformation of works or forms across later periods and contexts",domain,Arts & Humanities,Literature,American Literature,4,95,3,Core
"Reconstruct sites, objects, or events from documentary and material evidence to produce a representation of them",domain,Arts & Humanities,Literature,American Literature,2,65,2,Supplemental
"Check claims, interpretations, or data against independent sources to establish accuracy and correct errors",domain,Arts & Humanities,Literature,American Literature,4,100,4,Core
"Trace key terms and names across sources, languages, and periods to establish their meanings and development",domain,Arts & Humanities,Literature,American Literature,3,92,3,Core
Derive practical recommendations for professional practice or policy from research findings,domain,Arts & Humanities,Literature,American Literature,2,70,2,Supplemental
Survey a specialized body of documentary material to describe its contents and trace how it changed over time,domain,Arts & Humanities,Literature,American Literature,3,90,3,Core
Design and deliver instructional materials or programmes for a target audience of learners or community members,domain,Arts & Humanities,Literature,American Literature,4,95,4,Core
Retrieve and count occurrences of targeted features across a textual corpus to identify distributional patterns,domain,Arts & Humanities,Literature,American Literature,2,62,2,Supplemental
Compare documented cases or practices across communities or institutions to explain divergent outcomes,domain,Arts & Humanities,Literature,American Literature,3,85,3,Core
"Reconstruct the historical development and circumstances of a figure, community, or movement from documentary sources to explain its later character",domain,Arts & Humanities,Literature,American Literature,4,93,3,Core
"Evaluate existing concepts, arguments, or frameworks by reconstructing their underlying assumptions to assess their coherence and scope",domain,Arts & Humanities,Literature,American Literature,4,98,4,Core
"Analyze legal, policy, or institutional documents as external evidence bearing on the claims under examination",domain,Arts & Humanities,Literature,American Literature,3,78,2,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,92,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,97,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,98,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,97,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,97,4,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,75,3,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,100,4,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,95,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,99,3,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,99,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,95,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,88,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,90,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,3,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,99,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,2,70,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Economics,Behavioral & Experimental Economics,4,100,4,Core
Derive atmospheric stability indices and convective parameters from thermodynamic profiles.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,92,4,Core
Calculate radiative transfer through atmospheric layers to estimate heating rates and energy budgets.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,85,3,Core
"Calibrate radar systems and correct for beam attenuation, ground clutter, and range-dependent biases.",subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,60,2,Supplemental
Characterize sensor drift and measurement biases in weather station instruments over time.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,78,3,Core
Collect air samples and aerosol measurements using ground-based or airborne platforms.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,62,2,Supplemental
Retrieve atmospheric variables from satellite radiometer and sounder data products.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,82,3,Core
Analyze reanalysis datasets to reconstruct historical atmospheric conditions and climate variability.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,5,98,4,Core
"Extract paleoclimate proxy data from ice cores, tree rings, or sediment records.",subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,2,40,1,Supplemental
Retrieve atmospheric profiles from ground-based and airborne remote-sensing instruments.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,75,3,Core
Generate weather forecasts by applying numerical weather prediction models to current atmospheric conditions.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,90,4,Core
Apply quality control algorithms to remove erroneous observations from meteorological datasets.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,5,100,4,Core
"Correct satellite retrievals for cloud contamination, surface emissivity, and atmospheric interference.",subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,72,3,Core
Quantify uncertainty in climate projections arising from model spread and internal variability.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,90,3,Core
Propagate observational errors through derived quantities such as precipitation rates and wind shear.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,92,3,Core
Evaluate climate model output against observational benchmarks to assess model skill.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,5,96,3,Core
Fit statistical downscaling models to relate large-scale climate patterns to local weather variables.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,80,3,Core
Run global or regional climate model simulations to project future atmospheric conditions.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,85,3,Core
Execute mesoscale numerical simulations to study severe weather events and boundary layer processes.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,84,3,Core
Perform ensemble model runs to characterize forecast uncertainty and probabilistic outcomes.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,90,3,Core
Assimilate observations into atmospheric or land surface models to generate analysis fields and forecast initial conditions.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,4,82,3,Core
Maintain and troubleshoot automated weather observation systems and data loggers in field deployments.,subfield,Physical Sciences,Earth & Planetary Sciences,Atmospheric Science & Meteorology,3,68,2,Core
Apply evolutionary and adaptive frameworks when formulating hypotheses about human biological variation and behavior.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,5,100,4,Core
"Evaluate whether skeletal or fossil findings can be generalized across geographic regions, temporal periods, or population groups.",subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,97,3,Core
Reconstruct phylogenetic relationships and ancestor–descendant lineages among fossil taxa from morphological and chronological evidence.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,75,2,Core
Develop standardized osteometric data collection forms to systematically record skeletal measurements and morphological traits.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,92,3,Core
Design protocols for collecting oral histories or ethnographic accounts related to mortuary practices or population histories.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,2,55,1,Supplemental
"Obtain permits and approvals from descendant communities, tribal authorities, or government agencies for research involving human remains.",subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,85,2,Core
Navigate ethical guidelines and repatriation laws when conducting research on skeletal collections or archaeological materials.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,5,95,3,Core
Collect primary osteological data through systematic examination and measurement of skeletal remains.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,5,96,4,Core
Conduct field excavations to recover human skeletal remains and associated archaeological materials.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,70,2,Core
Collect morphological measurements or impressions directly from living individuals using standardized anthropometric instruments.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,65,2,Supplemental
Analyze bone microstructure with microscopic or high-resolution imaging to infer growth or mechanical loading history.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,62,2,Supplemental
Reassemble fragmentary or commingled skeletal remains into analytic specimens and estimate missing morphology.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,85,3,Core
Clean and standardize osteometric measurements and morphological scoring data for statistical analysis.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,95,4,Core
"Score and classify pathological lesions, trauma patterns, or developmental anomalies observed on skeletal remains.",subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,90,3,Core
Account for taphonomic processes and preservation bias when interpreting patterns in skeletal assemblages.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,95,3,Core
"Control for age, sex, and population affinity when analyzing skeletal variation or disease prevalence.",subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,96,4,Core
Derive individual-level biological attributes and missing dimensions from skeletal measurements and morphological indicators using standardized procedures,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,92,3,Core
Test analytic inferences against repeated observations or independent reference evidence to establish their reliability,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,94,3,Core
"Prepare physical bone or tissue specimens in the laboratory through defleshing, sectioning, or histological fixation for analysis.",subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,60,2,Supplemental
Compute biological distance statistics from metric or non-metric skeletal and dental traits to infer population and kin relationships.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,3,72,2,Core
Quantify shape variation in skeletal structures using landmark digitization or surface registration in geometric morphometric analysis.,subfield,Social Sciences,Anthropology,Biological & Physical Anthropology,4,80,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Political Science,Comparative Politics,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Political Science,Comparative Politics,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Political Science,Comparative Politics,4,100,3,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Political Science,Comparative Politics,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Political Science,Comparative Politics,3,92,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Political Science,Comparative Politics,4,95,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Political Science,Comparative Politics,3,78,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Political Science,Comparative Politics,4,97,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Political Science,Comparative Politics,4,93,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Political Science,Comparative Politics,4,92,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Political Science,Comparative Politics,4,90,3,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Political Science,Comparative Politics,3,65,2,Supplemental
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Political Science,Comparative Politics,4,96,3,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Political Science,Comparative Politics,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Political Science,Comparative Politics,4,94,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Political Science,Comparative Politics,4,99,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Political Science,Comparative Politics,4,99,2,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Political Science,Comparative Politics,3,96,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Political Science,Comparative Politics,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Political Science,Comparative Politics,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Political Science,Comparative Politics,4,93,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Political Science,Comparative Politics,4,93,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Political Science,Comparative Politics,3,88,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Political Science,Comparative Politics,4,97,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Political Science,Comparative Politics,2,60,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Political Science,Comparative Politics,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Political Science,Comparative Politics,5,100,4,Core
Apply legal pluralism or socio-legal theories to frame research questions about family law doctrine and practice.,subfield,Social Sciences,Law,Family Law,4,92,3,Core
Incorporate feminist legal theory or critical perspectives when analyzing family law policies and outcomes.,subfield,Social Sciences,Law,Family Law,4,90,3,Core
"Assess whether findings about divorce, custody, or support laws will generalize across different legal jurisdictions.",subfield,Social Sciences,Law,Family Law,4,97,3,Core
Evaluate how changes in family law statutes or court practices over time affect the comparability of research findings.,subfield,Social Sciences,Law,Family Law,4,96,3,Core
"Design survey instruments to measure experiences with divorce proceedings, custody arrangements, or domestic relations courts.",subfield,Social Sciences,Law,Family Law,3,85,2,Core
"Develop questionnaires to assess attitudes toward marriage, cohabitation, or parental rights policies.",subfield,Social Sciences,Law,Family Law,3,82,2,Core
Design interview protocols to explore litigants' experiences navigating family court systems.,subfield,Social Sciences,Law,Family Law,4,90,3,Core
Develop focus group guides to examine how family law practitioners perceive policy reforms or procedural changes.,subfield,Social Sciences,Law,Family Law,3,85,2,Core
Address heightened confidentiality requirements when researching sensitive family matters involving children or domestic violence.,subfield,Social Sciences,Law,Family Law,5,100,4,Core
Develop protocols to protect vulnerable populations such as abuse survivors or minor children in family law research.,subfield,Social Sciences,Law,Family Law,5,97,3,Core
"Conduct interviews with divorcing parties, custodial parents, or family law attorneys about legal processes and outcomes.",subfield,Social Sciences,Law,Family Law,4,93,3,Core
Observe family court hearings or mediation sessions to collect data on judicial decision-making and procedural practices.,subfield,Social Sciences,Law,Family Law,3,82,3,Core
"Acquire court records on divorce filings, custody determinations, and child support orders from state court administrative offices.",subfield,Social Sciences,Law,Family Law,4,92,3,Core
"Access vital statistics data on marriage, divorce, and family formation from government registries.",subfield,Social Sciences,Law,Family Law,4,90,3,Core
Obtain child welfare administrative data to study intersections between family law and protective services.,subfield,Social Sciences,Law,Family Law,3,80,2,Core
Document and classify informal or customary family practices and dispute-resolution mechanisms operating outside state law.,subfield,Social Sciences,Law,Family Law,3,75,2,Core
Clean and standardize inconsistent legal terminology and case disposition codes across different court jurisdictions.,subfield,Social Sciences,Law,Family Law,4,93,4,Core
Recode self-reported custody arrangements and parenting time schedules into analyzable categories.,subfield,Social Sciences,Law,Family Law,3,85,3,Core
"Code judicial opinions and court orders to identify patterns in custody, support, or property division decisions.",subfield,Social Sciences,Law,Family Law,4,96,4,Core
Analyze qualitative interview data to identify themes in litigants' perceptions of procedural fairness in family courts.,subfield,Social Sciences,Law,Family Law,4,92,4,Core
